id,dapil_id,party_id,jumlah
1,1101-00-0000,1,"151,121"
2,1102-00-0000,1,"120,453"
3,1201-00-0000,1,"103,289"
4,1202-00-0000,1,"193,191"
5,1203-00-0000,1,"115,968"
6,1301-00-0000,1,"136,060"
7,1302-00-0000,1,"78,433"
8,1401-00-0000,1,"102,473"
9,1402-00-0000,1,"63,381"
10,1501-00-0000,1,"98,336"
11,1601-00-0000,1,"101,481"
12,1602-00-0000,1,"175,923"
13,1701-00-0000,1,"130,759"
14,1801-00-0000,1,"107,848"
15,1802-00-0000,1,"196,574"
16,1901-00-0000,1,"47,763"
17,2101-00-0000,1,"95,848"
18,3101-00-0000,1,"43,097"
19,3102-00-0000,1,"69,286"
20,3103-00-0000,1,"119,147"
21,3201-00-0000,1,"96,979"
22,3202-00-0000,1,"118,981"
23,3203-00-0000,1,"63,780"
24,3204-00-0000,1,"58,619"
25,3205-00-0000,1,"113,490"
26,3206-00-0000,1,"50,203"
27,3207-00-0000,1,"125,620"
28,3208-00-0000,1,"109,818"
29,3209-00-0000,1,"114,300"
30,3210-00-0000,1,"78,251"
31,3211-00-0000,1,"105,687"
32,3301-00-0000,1,"152,217"
33,3302-00-0000,1,"99,612"
34,3303-00-0000,1,"130,060"
35,3304-00-0000,1,"47,186"
36,3305-00-0000,1,"120,090"
37,3306-00-0000,1,"146,264"
38,3307-00-0000,1,"143,183"
39,3308-00-0000,1,"47,985"
40,3309-00-0000,1,"62,146"
41,3310-00-0000,1,"86,383"
42,3401-00-0000,1,"107,433"
43,3501-00-0000,1,"67,451"
44,3502-00-0000,1,"296,136"
45,3503-00-0000,1,"91,838"
46,3504-00-0000,1,"114,551"
47,3505-00-0000,1,"122,385"
48,3506-00-0000,1,"87,000"
49,3507-00-0000,1,"117,362"
50,3508-00-0000,1,"163,065"
51,3509-00-0000,1,"69,512"
52,3510-00-0000,1,"74,793"
53,3511-00-0000,1,"291,378"
54,3601-00-0000,1,"103,015"
55,3602-00-0000,1,"73,425"
56,3603-00-0000,1,"140,425"
57,5101-00-0000,1,"60,969"
58,5201-00-0000,1,"154,981"
59,5301-00-0000,1,"84,815"
60,5302-00-0000,1,"186,149"
61,6101-00-0000,1,"168,741"
62,6201-00-0000,1,"85,960"
63,6301-00-0000,1,"48,564"
64,6302-00-0000,1,"53,867"
65,6401-00-0000,1,"117,117"
66,7101-00-0000,1,"69,628"
67,7201-00-0000,1,"171,289"
68,7301-00-0000,1,"99,135"
69,7302-00-0000,1,"113,286"
70,7303-00-0000,1,"104,000"
71,7401-00-0000,1,"90,363"
72,7501-00-0000,1,"20,930"
73,7601-00-0000,1,"33,587"
74,8101-00-0000,1,"107,443"
75,8201-00-0000,1,"65,357"
76,9101-00-0000,1,"298,176"
77,9201-00-0000,1,"27,401"
78,1101-00-0000,2,"92,905"
79,1102-00-0000,2,"44,751"
80,1201-00-0000,2,"73,293"
81,1202-00-0000,2,"121,679"
82,1203-00-0000,2,"60,086"
83,1301-00-0000,2,"40,408"
84,1302-00-0000,2,"47,962"
85,1401-00-0000,2,"115,444"
86,1402-00-0000,2,"101,398"
87,1501-00-0000,2,"105,551"
88,1601-00-0000,2,"93,615"
