id,party_id,region_category_id,name,gender,address,note,valid_votes,elected,ranked_valid_votes,order_number
1,1,1, ADNAN YACOB,L,KUTA ALAM,,,0,,
2,1,1, Ir. M. ALI,L,MEURAXA,,518,1,1,2
3,1,1, Ir. NAZIRA,P,KUTA RAJA,,,0,,
4,1,1," Dra. YETTY NURHAYATI, YS",P,MEURAXA,,,0,,
5,1,1," MISBAHUDDIN, A.Md",L,MEURAXA,,,0,,
6,2,1, ISMI AMRAN ,L,MESJID RAYA,,,0,,
7,2,1," JUNAITA, ST",P,KUTA RAJA,,,0,,
8,2,1, MOHD. SULAIMAN,L,KUTA RAJA,,,0,,
9,2,1, WARDIANI,P,MUTIARA,,,0,,
10,3,1, SURYA MUTIARA,L,KUTA RAJA,,,0,,
11,3,1, SOFNIR RINALDI,L,MEURAXA,,,0,,
12,3,1," SITI SUKMAWATI, ST",P,MEURAXA,,,0,,
13,3,1," LAILA WAHYUNI, S.Sos.I",P,MEURAXA,,,0,,
14,3,1," FADLI AZHARI, A.Md",L,MEURAXA,,,0,,
15,4,1," SULAIMAN, S.Sos",L,KUTA RAJA,,,0,,
16,4,1, RISNAWATI,P,DARUL IMARAH,,,0,,
17,5,1," Z. KARMIDI, S.Hut",L,MEURAXA,,,0,,
18,5,1," MUHAMMAD HASAN, S.Si",L,MEURAXA,,,0,,
19,5,1," YULIA SAFITRI, A.Md",P,BANDA RAYA,,,0,,
20,5,1,"WINDY SETIAWATI ERARIS, S.Pd",P,MEURAXA,,,0,,
21,6,1,Drh. DIAH FITRI HANDAYANI,P,MEURAXA,,,0,,
22,6,1,"MARDALI, SE.Ak",L,KUTA RAJA,,,0,,
23,6,1,"ZULHENDRA SURYA, A.Md",L,KUTA RAJA,,,0,,
24,6,1,YULIANA ,P,MEURAXA,,,0,,
25,6,1,AHMAD YANI JR LUTHAN,L,KUTA RAJA,,,0,,
26,7,1," MUHAMMAD  JAMIL, S.Ag",L,JAYA BARU,,,0,,
27,7,1," Hj. NURLAILA, A.Md",P,MEURAXA,,,0,,
28,7,1, Tgk. JANUAR HASAN ,L,KUTA RAJA,,655,1,1,3
29,7,1, YULI SUFRIDAWATI,P,BANDA RAYA,,,0,,
30,8,1, NEVI NINGSIH,P,MEURAXA,,,0,,
31,8,1, ISMAWARDI,L,SYIAH KUALA,,412,1,1,2
32,8,1," ZAKI MUSA, SH",L,KUTA RAJA,,,0,,
33,8,1," CUT FITRIANI, A.Md",P,KUTA RAJA,,,0,,
34,9,1," MUNZIR, S.Pd.I",L,MEURAXA,,,0,,
35,9,1," ASNAWI, SE",L,KUTA RAJA,,,0,,
36,9,1, DAHNIAR,P,KUTA RAJA,,,0,,
37,9,1," PIPI AGUSTINA, ST",P,MEURAXA,,,0,,
38,10,1,DIAN RAHMAT SYAHPUTRA,L,KUTA RAJA,,,0,,
39,10,1,"KHAIRUL IRSYADI, S.K.M",L,KUTA ALAM,,,0,,
40,10,1,"SRI YULI HARTATI, SE",P,DARUL IMARAH,,,0,,
41,11,1,"Tgk. TARNUMAN M. THAIB, SE",L,MEURAXA,,,0,,
42,11,1, Tgk. BASRI M. YAHYA,L,MEURAXA,,,0,,
43,11,1, YAUMIL KHAIRIAH,P,KUTA RAJA,,,0,,
44,11,1, MARIANI,P,KUTA RAJA,,,0,,
45,12,1," MUHAMMAD DAHLAN, S.Ag",L,KUTA RAJA,,,0,,
46,12,1," AFRIZAL, S.Sos",L,MEURAXA,,,0,,
47,12,1," DESI MAULIDA, S.Pd",P,MEURAXA,,,0,,
48,12,1, MURIANTI,P,MEURAXA,,,0,,
49,12,1, JAMALUDDIN,L,PEUKAN BADA,,,0,,
50,13,1," MASLINA, SE",P,KUTA RAJA,,,0,,
51,13,1, ROSDIANA. H,P,MEURAXA,,,0,,
52,13,1, Ir. DES ALKINDI,L,KUTA RAJA,,,0,,
53,13,1, EDI ARYANSYAH,L,MEURAXA,,,0,,
54,14,1, USMAN M. ADAM,L,MEURAXA,,,0,,
55,14,1," ASWAT, S.P",L,MEURAXA,,,0,,
56,14,1, FITRIAH,P,MEURAXA,,,0,,
57,14,1, CUT MASHWIATI,P,MEURAXA,,,0,,
58,15,1, DANIEL ABDUL WAHAB,L,MEURAXA,,550,1,1,1
59,15,1," NURLAILI, A.Md",P,MEURAXA,,,0,,
60,15,1, SULAIMAN ACHMAD,L,KUTA RAJA,,,0,,
61,15,1," GENI INDRA YULIA, ST",P,MEURAXA,,,0,,
62,15,1," RAHMIANA, S.Ag",P,MEURAXA,,,0,,
63,1,2, ADHI S. MAJID,L,KUTA ALAM,,,0,,
64,1,2, EDY YOZA,L,KUTA ALAM,,,0,,
65,1,2," NURAINI, S.Kep",P,KUTA ALAM,,,0,,
66,1,2, Drs. HANNIS HASAN,L,MEURAXA,,,0,,
67,1,2, SYARIFAH NURHIDAH,P,KUTA ALAM,,,0,,
68,1,2," HAMDANI ABIDIN, SE.Ak",L,KUTA ALAM,,,0,,
69,2,2, SAFWAN,L,KUTA ALAM,,,0,,
70,2,2, YURISA,P,JANTHO,,,0,,
71,2,2," IKHWANUL FAJRI, SP",L,GLUMPANG BARO,,,0,,
72,2,2, LISMA HANDAYANI,P,LUENG BATA,,,0,,
73,2,2, ZULKIFLI AR,L,KUTA ALAM,,,0,,
74,3,2," FARID NYAK UMAR, ST",L,KUTA ALAM,,550,1,1,1
75,3,2,"SUTAN MUHAMMAD   RUSDI, SE",L,BAITURRAHMAN,,,0,,
76,3,2," YESI BUDAYA SARI, S.Si",P,KUTA ALAM,,,0,,
77,3,2," IRWAN, S.KH",L,INGIN JAYA,,,0,,
78,3,2," ARIDA SYAHPUTRA, A.Md",L,KUTA ALAM,,,0,,
79,3,2," NUR AZIZAH, A.Ma",P,KUTA ALAM,,,0,,
80,4,2," IKHLAS KURNIAWAN, ST",L,SYIAH KUALA,,,0,,
81,4,2, EFRITA YANA,P,LHOKNGA,,,0,,
82,5,2," SABRI BADRUDDIN, ST",L,KUTA ALAM,,993,1,1,1
83,5,2, M. TAUFIK ALMUSAWAR,L,KUTA ALAM,,,0,,
84,5,2, EVA LOVIANA,P,LUENG BATA,,,0,,
85,5,2," HENDRA SETIAWAN, ST",L,KUTA ALAM,,,0,,
86,5,2, Drs. AZHAR RUSLI,L,KUTA ALAM,,,0,,
87,5,2,"HIWASYUL BUHYATIL  KUBRA, ST",P,KUTA ALAM,,,0,,
88,6,2, MAHYIDDIN,L,KUTA ALAM,,420,1,1,1
89,6,2, YUSSADRI,L,KUTA ALAM,,,0,,
90,6,2, EVI HARYANTI ,P,KUTA ALAM,,,0,,
91,6,2, M. ILHAM AKBAR,L,KUTA ALAM,,,0,,
92,6,2, MUNI HAMID ,L,KUTA ALAM,,,0,,
93,6,2, Hj. ENY MARLINDA,P,KUTA ALAM,,,0,,
94,6,2, MARLINDA SUSANTI,P,KUTA ALAM,,,0,,
95,7,2," AIYUB BUKHARI, S.Pd",L,KUTA ALAM,,1015,1,1,1
96,7,2," SITI HAWA, SH",P,KUTA ALAM,,,0,,
97,7,2," IDARYANI, SE., M.Si",P,KUTA ALAM,,,0,,
98,7,2, JUMADI ,L,BAITURRAHMAN,,,0,,
99,7,2," Hj. RADHIANA , SE., MM",P,KUTA ALAM,,,0,,
100,7,2, MAIMUN FIKRI,L,ULEE KARENG,,,0,,
101,8,2, Drh. FIRDAUS HAIYAR,L,KUTA ALAM,,,0,,
102,8,2," USMAN, SE",L,KUTA ALAM,,,0,,
103,8,2," YUNITA SAFRIYANTI, A.Md",P,KUTA ALAM,,,0,,
104,8,2," DEDI SAHPUTRA, SE",L,KUTA ALAM,,,0,,
105,8,2, MUNTAZIR,L,KUTA ALAM,,,0,,
106,8,2, ROZANNA,P,KUTA ALAM,,,0,,
107,9,2, ASNAWI M. AMIN,L,LUENG BATA,,,0,,
108,9,2, SYUKRIANSYAH ,L,KUTA ALAM,,,0,,
109,9,2," Hj. MUKTIAH AZIZAH, S.Ag",P,KUTA ALAM,,,0,,
110,9,2," M. NASIR, B.Sc",L,KUTA ALAM,,489,1,1,4
111,9,2, Hj. HINDUN RIDWAN ,P,KUTA ALAM,,,0,,
112,9,2," IBNU RUSYDI, SH",L,KUTA ALAM,,,0,,
113,9,2, ITA RAZLIANY ,P,KUTA ALAM,,,0,,
114,10,2," MUZAKAR, SH.I",L,BAITUSSALAM,,,0,,
