id,region_id,dct_category_id,value
1,1,2," 12,074.00 "
2,2,2," 8,343.00 "
3,3,2," 31,491.00 "
4,4,2," 24,180.00 "
5,5,2," 16,236.00 "
6,6,2," 23,446.00 "
7,7,2," 17,158.00 "
8,8,2," 15,643.00 "
9,9,2," 16,427.00 "
10,1,4," 7,559.00 "
11,2,4," 4,345.00 "
12,3,4," 16,248.00 "
13,4,4," 12,405.00 "
14,5,4," 10,183.00 "
15,6,4," 13,156.00 "
16,7,4," 9,479.00 "
17,8,4," 10,359.00 "
18,9,4," 9,243.00 "
19,1,5,0.95
20,2,5,0.95
21,3,5,0.95
22,4,5,0.95
23,5,5,0.94
24,6,5,0.92
25,7,5,0.94
26,8,5,0.95
27,9,5,0.96
28,1,7, 421.00 
29,2,7, 222.00 
30,3,7, 905.00 
31,4,7, 703.00 
32,5,7, 683.00 
33,6,7," 1,221.00 "
34,7,7, 565.00 
35,8,7, 527.00 
36,9,7, 386.00 
37,1,8,0.05
38,2,8,0.05
39,3,8,0.05
40,4,8,0.05
41,5,8,0.06
42,6,8,0.08
43,7,8,0.06
44,8,8,0.05
45,9,8,0.04
46,1,10," 7,980.00 "
47,2,10," 4,567.00 "
48,3,10," 17,153.00 "
49,4,10," 13,108.00 "
50,5,10," 10,866.00 "
51,6,10," 14,377.00 "
52,7,10," 10,044.00 "
53,8,10," 10,886.00 "
54,9,10," 9,629.00 "
55,1,11,0.68
56,2,11,0.56
57,3,11,0.55
58,4,11,0.56
59,5,11,0.67
60,6,11,0.62
61,7,11,0.59
62,8,11,0.7
63,9,11,0.6
64,1,13," 3,744.00 "
65,2,13," 3,517.00 "
66,3,13," 13,849.00 "
67,4,13," 10,391.00 "
68,5,13," 5,339.00 "
69,6,13," 8,701.00 "
70,7,13," 7,044.00 "
71,8,13," 4,576.00 "
72,9,13," 6,508.00 "
73,1,14,0.32
74,2,14,0.44
75,3,14,0.45
76,4,14,0.44
77,5,14,0.33
78,6,14,0.38
79,7,14,0.41
80,8,14,0.3
81,9,14,0.4
82,1,15,7980
83,2,15,4567
84,3,15,17153
85,4,15,13108
86,5,15,10866
87,6,15,14377
88,7,15,10044
89,8,15,10886
90,9,15,9629
91,1,16,11724
92,2,16,8084
93,3,16,31002
94,4,16,23499
95,5,16,16205
96,6,16,23078
97,7,16,17088
98,8,16,15462
99,9,16,16137
