id,name,full_name,chairman,secretary,treasurer,address
1,NASDEM,PARTAI NASIONAL DEMOKRAT,T. IRWAN DJOHAN,M. FAUZAN FEBRIANTO,"T. NANTA MUDA, ST",JL. MOHD. HASAN NO 39 GP BATOH KEC.LUENG BATA BANDA ACEH
2,PKB,PARTAI KEBANGKITAN BANGSA,NIZAMUDDIN,ISNADI,"T. NANTA MUDA, ST",JL. MOHD. HASAN NO 39 GP BATOH KEC.LUENG BATA BANDA ACEH
3,PKS,PARTAI KEADILAN SEJAHTERA,"TGK.SUBHAN M. ISA,S.AG","IRWANSYAH, ST",SURYA MUTIARA,JLN. AYAH GANI NO. 10 GAMPONG BANDAR BARU KEC. KUTA ALAM - KOTA BANDA ACEH
4,PDIP,PARTAI DEMOKRASI INDONESIA PERJUANGAN,IR. GADING HAMONANGAN ,"AGUSTIAR, SH","CUT RIDHA SARTIKA, SE ",JLN. GLEE GEUNTENG NO. 6 SUKARAMAI KEC. BAITURRAHMAN - KOTA BANDA ACEH 
5,GOLKAR,PARTAI GOLONGAR KARYA,"H.MUNTASIR HAMID, SH","BUKHARI BADAR, SE. AK",MIRZA MURNI MUHAMMAD,"JLN. KEUSYIK SYEH GP. IE MASEN ULEE KARENG, KEC. ULEE KARENG. BANDA ACEH"
6,GERINDRA,PARTAI GERAKAN INDONESIA RAYA,KHAIRUMAN,DRS. ZULKARNANEN,"WIRDA INAYATI, SE","JLN. KEUSYIK SYEH GP. IE MASEN ULEE KARENG, KEC. ULEE KARENG. BANDA"
7,DEMOKRAT,PARTAI DEMOKRAT,YUDI KURNIA.SE,USMAN,AMRUNSYAH YAHYA,JLN. AHMAD YANI NO. 56 GP. PEUNAYONG KEC. KUTA ALAM - KOTA BANDA ACEH
8,PAN,PARTAI AMANAT NASIONAL,DRS.H.K.ZAINAL ARIFIN,"MAHDI, S.AG","USMAN, SE",JLN. GABUS NO. 50 LAMPRIT GAMPONG BANDAR   BARU KUTA ALAM - KOTA BANDA ACEH
9,PPP,PARTAI PERSATUAN PEMBANGUNAN,ILLIZA SA'ADUDDIN DJAMAL,MUHAMMAD BEN UMAR,FAUZIAH AZIS,"JLN. SYIAH KUALA NO. 388 GANO, GP.  LAMDINGIN KEC. KUTA ALAM - KOTA BANDA ACEH"
10,HANURA,PARTAI HATI NURANI RAKYAT,AIDY FAIRIZAL,MUAMAR KADHAFI,EVI NURRAHMADHANI,"JL. MUJAHIDIN NO. 02, GP. LAMBARO SKEP KEC. KUTA ALAM. BANDA ACEH."
11,PDA,PARTAI DAMAI ACEH,TGK. H. MUHIBBAN M. HAJAT,"ARNUMAN MT, SE","AZHARI, S. Ag",JLN. PUNGE BLANG CUT NO. 59 GP. PUNGE BLANG CUT KEC. JAYA BARU. BANDA ACEH
12,PNA,PARTAI NASIONAL ACEH,MARWAN MUHAMMAD,FAISAL SAMSOERIADI,ZAINUDDIN MUHAMMAD,JLN. TAMAN RATU SAFIATUDDIN NO. 12 BANDAR BARU KEC. KUTA ALAM - KOTA BANDA ACEH
13,PA,PARTAI ACEH,MUKHLIS ABEE,HENDRA FADLI,NUR AZIZAH,"DESA BATOH, KEC. LUENG BATA (DEPAN SPBU BATOH)"
14,PBB,PARTAI BULAN BINTANG,USMAN M. ADAM,RUSLI ISHAK,SYARIFAH FAISAL,JLN. PANGLIMA NYAK MAKAM (SAMPING BPKP) GP. LAMBHUK KEC. ULEE KARENG - KOTA BANDA ACEH
15,PKPI,PARTAI KEADILAN DAN PERSATUAN INDONESIA,DANIEL A WAHAB,T.JUNI SAPUTRA,MAHFUD,JL. RAMA SETIA NO. 15D GP. LAMPASEH ACEH KEC. MEURAXA.BANDA ACEH
