id,category,title,description,file_url,url
1,1,Undang-Undang Nomor 21 Tahun 2012,Tentang Pembentukan Kabupaten Pangandaran Di Provinsi Jawa Barat,http://www.kpu.go.id/dmdocuments/UU 21Th 2012 Pemb Kab Pangandaran.pdf,http://www.kpu.go.id/index.php/arsip/detail/20
2,1,Undang-Undang Nomor 20 Tahun 2012,Tentang Pembentukan Provinsi Kalimantan Utara,http://www.kpu.go.id/dmdocuments/UU 20 Th 2012 Pemb Prov Kal Utara.pdf,http://www.kpu.go.id/index.php/arsip/detail/19
3,1,Undang-Undang Nomor 22 Tahun 2012,Tentang Pembentukan Kabupaten Pesisir Barat Di Provinsi Lampung,http://www.kpu.go.id/dmdocuments/UU 22 Th 2012 Pemb Kab Pesisir Brt Lpg.pdf,http://www.kpu.go.id/index.php/arsip/detail/21
4,1,Undang-Undang Nomor 20 Tahun 2001,Tentang Perubahan Atas Undang-Undang Nomor 31 Tahun 1999 Tentang Pemberantasan Tindak Pidana Korupsi,http://www.kpu.go.id/dmdocuments/UU202001.pdf,http://www.kpu.go.id/index.php/arsip/detail/10
5,1,Undang-Undang Nomor 23 Tahun 2012,Tentang Pembentukan Kabupaten Manokwari Selatan Di Provinsi Papua Barat,"http://www.kpu.go.id/dmdocuments/UU 23 Th 2012 Pemb Kab Manokwari Sel, Pabar.pdf",http://www.kpu.go.id/index.php/arsip/detail/22
6,1,Undang-Undang Nomor 24 Tahun 2012,Tentang Pembentukan Kabupaten Pegunungan Arfak Di Provinsi Papua Barat,http://www.kpu.go.id/dmdocuments/UU%2024%20Th%202012%20Pemb%20Kab%20Peg%20Arfak%20Pabar.pdf,http://www.kpu.go.id/index.php/arsip/detail/23
7,1,Undang-Undang Nomor 2 Tahun 2013,Tentang Pembentukan Kabupaten Mahakam Ulu Di Provinsi Kalimantan Timur,http://www.kpu.go.id/dmdocuments/UU%202%20Th%202013%20Pemb%20Kab%20Mahakam%20Ulu%20Kaltim.pdf,http://www.kpu.go.id/index.php/arsip/detail/24
8,1,Undang-Undang Nomor 3 Tahun 2013,Tentang Pembentukan Kabupaten Malaka Di Provinsi Nusa Tenggara Timur,http://www.kpu.go.id/dmdocuments/UU%203%20Th%202013%20Pemb%20Kab%20Malaka%20NTT.pdf,http://www.kpu.go.id/index.php/arsip/detail/25
9,1,Undang-Undang Nomor 4 Tahun 2013,Tentang Pembentukan Kabupaten Mamuju Tengah Di Provinsi Sulawesi Barat,"http://www.kpu.go.id/dmdocuments/UU%204%20Th%202013%20Kab%20Mamuju%20Tengah,%20Sulbar.pdf",http://www.kpu.go.id/index.php/arsip/detail/26
10,1,Undang-Undang Nomor 5 Tahun 2013,Tentang Pembentukan Kabupaten Banggai Laut Di Provinsi Sulawesi Tengah,http://www.kpu.go.id/dmdocuments/UU%205%20Th%202013%20Pemb%20Kab%20Banggai%20Laut%20Sulteng.pdf,http://www.kpu.go.id/index.php/arsip/detail/27
11,1,Undang-Undang Nomor 8 Tahun 2012,"Tentang Pemilihan Umum Dewan Perwakilan Rakyat, Dewan Perwakilan Daerah dan Dewan Perwakilan Rakyat Daerah.",http://www.kpu.go.id/dmdocuments/UU No 8 thn 2012 Pemilu Leg_oke.pdf,http://www.kpu.go.id/index.php/arsip/detail/18
12,1,LAW OF THE REPUBLIC OF INDONESIA NUMBER 15 YEAR 2011,The General Election Implementers,http://www.kpu.go.id/dmdocuments/UU 15 English Version.pdf,http://www.kpu.go.id/index.php/arsip/detail/17
13,1,Undang-Undang Nomor 7 Tahun 2013,Tentang Pembentukan Kabupaten Penukal Abab Lematang Ilir Di Provinsi Sumatera Selatan,"http://www.kpu.go.id/dmdocuments/UU 7 Th 2013 Pemb Kab Penukal Abab Lamatang Ilir, Sumsel.pdf",http://www.kpu.go.id/index.php/arsip/detail/29
14,1,Undang-Undang Nomor 6 Tahun 2013,Tentang Pembentukan Kabupaten Pulau Taliabu Di Provinsi Maluku Utara,http://www.kpu.go.id/dmdocuments/UU 6 Th 2013 Pemb Kab Taliabu Malut.pdf,http://www.kpu.go.id/index.php/arsip/detail/28
15,1,Undang-Undang Nomor 8 Tahun 2013,Tentang Pembentukan Kabupaten Kolaka Timur Di Provinsi Sulawesi Tenggara,http://www.kpu.go.id/dmdocuments/UU 8 Th 2013 Pemb Kolaka Tmr Sultra.pdf,http://www.kpu.go.id/index.php/arsip/detail/30
16,1,Undang-Undang Nomor 15 Tahun 2011,Tentang Penyelenggara Pemilihan Umum,http://www.kpu.go.id/dmdocuments/UU_15_Tahun_2011.pdf,http://www.kpu.go.id/index.php/arsip/detail/16
17,1,Undang-Undang Nomor 2 Tahun 2011,Tentang Perubahan Atas Undang-Undang Nomor 2 Tahun 2008 Tentang Partai Politik,http://www.kpu.go.id/dmdocuments/UU 02 Tahun 2011.pdf,http://www.kpu.go.id/index.php/arsip/detail/14
18,1,Undang-Undang Nomor 14 Tahun 2008,Tentang Keterbukaan Informasi Publik,http://www.kpu.go.id/dmdocuments/UU_KIP.pdf,http://www.kpu.go.id/index.php/arsip/detail/11
19,1,RUU Tentang Penyelenggara Pemilu,Rancangan Undang-Undang Republik Indonesia Nomor... Tahun... Tentang Penyelenggara Pemilihan Umum,http://www.kpu.go.id/dmdocuments/RUU Penyelenggara Pemilu.pdf,http://www.kpu.go.id/index.php/arsip/detail/15
