id,jumlah_kursi_anggota,jumlah_kursi_perempuan,presentase,provinsi_id
1,45,1,2.22%,92
2,57,6,10.53%,91
3,45,4,8.89%,82
4,45,12,26.67%,81
5,45,8,17.78%,76
6,45,12,26.67%,75
7,45,8,17.78%,74
8,85,16,18.82%,73
9,45,7,15.56%,72
10,45,14,31.11%,71
11,55,6,10.91%,64
12,55,7,12.73%,63
13,45,10,22.22%,62
14,65,7,10.77%,61
15,65,6,9.23%,53
16,65,5,7.69%,52
17,55,5,9.09%,51
18,85,16,18.82%,36
19,100,13,13.00%,35
20,55,6,10.91%,34
21,100,23,23.00%,33
22,100,22,22.00%,32
23,106,19,17.92%,31
24,45,6,13.33%,21
25,45,5,11.11%,19
26,85,14,16.47%,18
27,45,8,17.78%,17
28,75,13,17.33%,16
29,55,7,12.73%,15
30,65,18,27.69%,14
31,65,6,9.23%,13
32,100,13,13.00%,12
33,81,12,14.81%,11
