id_question,tag
001,women
001,participation
002,women
002,participation
003,women
004,women
005,women
006,women
007,women
008,student
009,student
010,student
011,student
012,first time voter
013,first time voter
014,first time voter
015,first time voter
016,first time voter
017,first time voter
018,first time voter
019,first time voter
020,first time voter
021,first time voter
022,first time voter
023,first time voter
024,first time voter
025,first time voter
026,first time voter
027,elderly people
028,elderly people
029,elderly people
030,elderly people
031,elderly people
032,elderly people
033,elderly people
034,elderly people
035,difable
036,difable
037,difable
038,difable
039,difable
040,difable
041,difable
042,difable
043,difable
044,difable
045,difable
046,difable
047,pemantau pemilu
048,pemantau pemilu
049,pemantau pemilu
050,pemantau pemilu
051,pemantau pemilu
052,pemantau pemilu
053,pemantau pemilu
054,pemantau pemilu
055,pemantau pemilu
056,pemantau pemilu
057,pemantau pemilu
058,pemantau pemilu
059,pemantau pemilu
060,pemantau pemilu
061,pemantau pemilu
062,pemantau pemilu
063,pemantau pemilu
064,pemantau pemilu
065,pemantau pemilu
066,pemantau pemilu
067,pemantau pemilu
068,general question
069,general question
070,general question
071,general question
072,general question
073,general question
074,general question
075,general question
076,general question
077,general question
078,general question
079,general question
080,general question
081,general question
082,general question
083,general question
084,general question
085,glbt people
086,glbt people
