id,keterangan,pagu,realisasi,sisa,presentase,tipe
1,KPU PUSAT,1608545705000,844142178629,764403526371,"52,48%",provinsi
2,ACEH,403519561000,366559394504,36960166496,"90,84%",provinsi
3,SUMATERA BARAT,262278089000,214805362195,47472726805,"81,90%",provinsi
4,RIAU,266669959000,207353155769,59316803231,"77,76%",provinsi
5,SUMATERA SELATAN,377874274000,321898291067,55975982933,"85,19%",provinsi
6,LAMPUNG,337934101000,281571265070,56362835930,"83,32%",provinsi
7,SUMATERA UTARA,670139299000,554815209879,115324089121,"82,79%",provinsi
8,JAMBI,187642902000,156059211708,31583690292,"83,17%",provinsi
9,BENGKULU,138056335000,118720492947,19335842053,"85,99%",provinsi
10,KEPULAUAN RIAU,95681513000,69431217766,26250295234,"72,56%",provinsi
11,BANGKA BELITUNG,71009935000,58666448706,12343486294,"82,62%",provinsi
12,JAWA BARAT,1335467059000,1053439405309,282027653691,"78,88%",provinsi
13,DKI JAKARTA,239444827000,190568533479,48876293521,"79,59%",provinsi
14,DI YOGYAKARTA,139203389000,102732301647,36471087353,"73,80%",provinsi
15,BANTEN,310970783000,264508730982,46462052018,"85,06%",provinsi
16,JAWA TENGAH,1271882454000,998636252642,273246201358,"78,52%",provinsi
17,BALI,152669764000,115891013084,36778750916,"75,91%",provinsi
18,JAWA TIMUR,1372868899000,1135645141201,237223757799,"82,72%",provinsi
19,KALIMANTAN TENGAH,175107588000,152142021302,22965566698,"86,88%",provinsi
20,KALIMANTAN TIMUR,220654554000,180916283058,39738270942,"81,99%",provinsi
21,KALIMANTAN BARAT,257000404000,228009994686,28990409314,"88,72%",provinsi
22,KALIMANTAN SELATAN,216732240000,169982725147,46749514853,"78,43%",provinsi
23,SULAWESI TENGAH,187254839000,161244559956,26010279044,"86,11%",provinsi
24,SULAWESI UTARA,199830332000,162194108683,37636223317,"81,17%",provinsi
25,SULAWESI SELATAN,398469576000,331483091049,66986484951,"83,19%",provinsi
26,SULAWESI TENGGARA,178928097000,162548085519,16380011481,"90,85%",provinsi
27,SULAWESI BARAT,79686642000,72400812797,7285829203,"90,86%",provinsi
28,MALUKU,146839324000,115103418648,31735905352,"78,39%",provinsi
29,NUSA TENGGARA BARAT,226178814000,170111152069,56067661931,"75,21%",provinsi
30,NUSA TENGGARA TIMUR,316901377000,266338670487,50562706513,"84,04%",provinsi
31,PAPUA,633357345000,563831399883,69525945117,"89,02%",provinsi
32,MALUKU UTARA,122793563000,106750915085,16042647915,"86,94%",provinsi
33,GORONTALO,78343790000,69187601949,9156188051,"88,31%",provinsi
34,PAPUA BARAT,197496958000,180664888559,16832069441,"91,48%",provinsi
35,Pelaksanaan Akuntabilitas Pengelolaan Administrasi Keuangan di Lingkungan Setjen KPU,67365686000,56501445370,10864240630,"83,87%",kegiatan
36,"Pengelolaan Data, Dokumentasi, Pengadaan, Pendistribusian, dan Inventarisasi Sarana dan Pra Sarana Pemilu",3474839234000,1949277242762,1525561991238,"56,10%",kegiatan
37,Pelaksanaan Manajemen Perencanaan dan Data,804720395000,479568285262,325152109738,"59,59%",kegiatan
38,"Pembinaan Sumber Daya Manusia, Pelayanan dan Administrasi Kepegawaian",136895454000,84868190936,52027263064,"61,99%",kegiatan
39,Penyelenggaraan Operasional dan Pemeliharaan Perkantoran (KPU),104370828000,74251450278,30119377722,"71,14%",kegiatan
40,"Penyiapan Penyusunan Rancangan Peraturan Kpu, Advokasi, Penyelesaian Sengketa dan Penyuluhan Peraturan Perundang-Undangan yang Berkaitan Dengan Penyelenggaraan Pemilu",245420552000,204482277109,40938274891,"83,32%",kegiatan
41,"Pedoman, Petunjuk Teknis dan Bimbingan Teknis/Supervisi/Publikasi/Sosialisasi Penyelenggaraan Pemilu dan Pendidikan Pemilih",8043822142000,7299404443744,744417698256,"90,75%",kegiatan
