id,nama_calon,nama_wakil_calon,qwords
246,Ridwan Mukti,Rohidin Mersyah,info pasangan calon Ridwan Mukti Rohidin Mersyah
624,Sultan B Najamudin,Mujiono,info pasangan calon Sultan B Najamudin Mujiono
494,H. HASAN BASRI AGUS,"EDI PURWANTO, S.Hi., M.Si.","info pasangan calon H. HASAN BASRI AGUS EDI PURWANTO, S.Hi., M.Si."
441,"H. ZUMI ZOLA ZULKIFLI, S.TP, MA","DR. Drs. H. FACHRORI UMAR, M.HUM","info pasangan calon H. ZUMI ZOLA ZULKIFLI, S.TP, MA DR. Drs. H. FACHRORI UMAR, M.HUM"
511,H. M. HARRIS,"Drs. H. ZARDEWAN, MM","info pasangan calon H. M. HARRIS Drs. H. ZARDEWAN, MM"
509,ZUKRI,Drs. H. ABDUL ANAS BADRUN,info pasangan calon ZUKRI Drs. H. ABDUL ANAS BADRUN
537,H.SUYATNO,Drs.JAMILUDIN,info pasangan calon H.SUYATNO Drs.JAMILUDIN
749,H. SYAFRUDIN,MOHAMAD RIDWAN.S.IP,info pasangan calon H. SYAFRUDIN MOHAMAD RIDWAN.S.IP
775,Drs. H. WAN SYAMSIR YUS,"H. HELMI, SE","info pasangan calon Drs. H. WAN SYAMSIR YUS H. HELMI, SE"
758,"H. HERMAN SANI, SH.,M.Si",TAEM,"info pasangan calon H. HERMAN SANI, SH.,M.Si TAEM"
661,"H. Syafaruddin Poti, SH","H. Erizal, ST","info pasangan calon H. Syafaruddin Poti, SH H. Erizal, ST"
663,"H. Suparman, S.Sos, M.Si",H. Sukiman,"info pasangan calon H. Suparman, S.Sos, M.Si H. Sukiman"
458,"Ir. H. Hafith Syukri, MM","Nasrul Hadi, ST., MT","info pasangan calon Ir. H. Hafith Syukri, MM Nasrul Hadi, ST., MT"
983,"H.SYAMSUAR, M.Si","Drs.H. ALFEDRI, M.Si","info pasangan calon H.SYAMSUAR, M.Si Drs.H. ALFEDRI, M.Si"
583,"H. SUHARTONO, SH","H. SYAHRUL, S.IP, M.Si","info pasangan calon H. SUHARTONO, SH H. SYAHRUL, S.IP, M.Si"
754,"Ir. H. INDRA CATRI, MSP., DT. MALAKO NAN PUTIAH","H. TRINDA FARHAN SATRIA, ST, MT","info pasangan calon Ir. H. INDRA CATRI, MSP., DT. MALAKO NAN PUTIAH H. TRINDA FARHAN SATRIA, ST, MT"
755,"IRWAN FIKRI, SH",CHAIRUNAS,"info pasangan calon IRWAN FIKRI, SH CHAIRUNAS"
729,"Drs. H. Taufan Gama Simatupang, M.AP","H. Surya, BSc","info pasangan calon Drs. H. Taufan Gama Simatupang, M.AP H. Surya, BSc"
1206,"Brigjen. TNI (Purn). Dr. Hj. Nurhajizah Marpaung, SH, MH","Ir. H. Amir Syarifuddin, MM","info pasangan calon Brigjen. TNI (Purn). Dr. Hj. Nurhajizah Marpaung, SH, MH Ir. H. Amir Syarifuddin, MM"
