id,jumlah_suara,presentase,urut,pasangan,id_provinsi
1,1.089.290,"54,39%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,11
2,2.831.514,"44,76%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,12
3,1.797.505,"76,92%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,13
4,1.349.338,"50,12%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,14
5,871.316,"49,25%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,15
6,2.132.163,"51,26%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,16
7,433.173,"45,27%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,17
8,2.033.924,"46,93%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,18
9,200.706,"32,74%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,19
10,332.908,"40,37%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,21
11,2.528.064,"46,92%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,31
12,14.167.381,"59,78%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,32
13,6.485.720,"33,35%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,33
14,977.342,"44,19%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,34
15,10.277.088,"46,83%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,35
16,3.192.671,"57,10%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,36
17,614.241,"28,58%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,51
18,1.844.178,"72,45%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,52
19,769.391,"34,08%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,53
20,1.032.354,"39,62%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,61
21,468.277,"40,21%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,62
22,941.809,"50,05%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,63
23,687.734,"36,62%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,64
24,620.095,"46,12%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,71
25,632.009,"45,17%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,72
26,1.214.857,"28,57%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,73
27,511.134,"45,10%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,74
28,378.735,"63,10%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,75
29,165.494,"26,63%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,76
30,433.981,"49,48%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,81
31,306.792,"54,45%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,82
32,769.132,"27,51%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,91
33,172.528,"32,37%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,92
34,313.6,"46,26%",1,PRABOWO SUBIANTO & M. HATTA RAJASA,100
35,913.309,"45,61%",2,JOKO WIDODO & JUSUF KALLA,11
36,3.494.835,"55,24%",2,JOKO WIDODO & JUSUF KALLA,12
37,539.308,"23,08%",2,JOKO WIDODO & JUSUF KALLA,13
38,1.342.817,"49,88%",2,JOKO WIDODO & JUSUF KALLA,14
39,897.787,"50,75%",2,JOKO WIDODO & JUSUF KALLA,15
40,2.027.049,"48,74%",2,JOKO WIDODO & JUSUF KALLA,16
41,523.669,"54,73%",2,JOKO WIDODO & JUSUF KALLA,17
42,2.299.889,"53,07%",2,JOKO WIDODO & JUSUF KALLA,18
43,412.359,"67,26%",2,JOKO WIDODO & JUSUF KALLA,19
44,491.819,"59,63%",2,JOKO WIDODO & JUSUF KALLA,21
45,2.859.894,"53,08%",2,JOKO WIDODO & JUSUF KALLA,31
46,9.530.315,"40,22%",2,JOKO WIDODO & JUSUF KALLA,32
47,12.959.540,"66,65%",2,JOKO WIDODO & JUSUF KALLA,33
48,1.234.249,"55,81%",2,JOKO WIDODO & JUSUF KALLA,34
49,11.669.313,"53,17%",2,JOKO WIDODO & JUSUF KALLA,35
50,2.398.631,"42,90%",2,JOKO WIDODO & JUSUF KALLA,36
51,1.535.110,"71,42%",2,JOKO WIDODO & JUSUF KALLA,51
52,701.238,"27,55%",2,JOKO WIDODO & JUSUF KALLA,52
53,1.488.076,"65,92%",2,JOKO WIDODO & JUSUF KALLA,53
54,1.573.046,"60,38%",2,JOKO WIDODO & JUSUF KALLA,61
55,696.199,"59,79%",2,JOKO WIDODO & JUSUF KALLA,62
56,939.748,"49,95%",2,JOKO WIDODO & JUSUF KALLA,63
57,1.190.156,"63,38%",2,JOKO WIDODO & JUSUF KALLA,64
58,724.553,"53,88%",2,JOKO WIDODO & JUSUF KALLA,71
59,767.151,"54,83%",2,JOKO WIDODO & JUSUF KALLA,72
60,3.037.026,"71,43%",2,JOKO WIDODO & JUSUF KALLA,73
61,622.217,"54,90%",2,JOKO WIDODO & JUSUF KALLA,74
62,221.497,"36,90%",2,JOKO WIDODO & JUSUF KALLA,75
63,456.021,"73,37%",2,JOKO WIDODO & JUSUF KALLA,76
64,443.04,"50,52%",2,JOKO WIDODO & JUSUF KALLA,81
65,256.601,"45,55%",2,JOKO WIDODO & JUSUF KALLA,82
66,2.026.735,"72,49%",2,JOKO WIDODO & JUSUF KALLA,91
67,360.379,"67,63%",2,JOKO WIDODO & JUSUF KALLA,92
68,364.257,"53,74%",2,JOKO WIDODO & JUSUF KALLA,100
