kecamatan/_text,kecamatan,pemilih,pengguna_hak_pilih,perolehan_suara_1,perolehan_suara_2,suara_sah,suara_tidak_sah,total_suara,data_masuk
ASEM ROWO,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo,29.402,15.046,2.815,11.918,14.733,303,15.046,100.00%
BENOWO,https://pilkada2015.kpu.go.id/surabayakota/benowo,38.769,23.06,3.05,19.636,22.315,370,22.685,100.00%
BUBUTAN,https://pilkada2015.kpu.go.id/surabayakota/bubutan,71.259,35.773,5.241,29.765,35.154,845,35.999,100.00%
BULAK,https://pilkada2015.kpu.go.id/surabayakota/bulak,27.509,14.758,2.165,12.158,14.323,264,14.587,100.00%
DUKUHPAKIS,https://pilkada2015.kpu.go.id/surabayakota/dukuhpakis,42.553,21.723,2.659,18.742,21.401,318,21.563,100.00%
GAYUNGAN,https://pilkada2015.kpu.go.id/surabayakota/gayungan,28.4,16.266,2.236,14.005,16.041,196,16.238,100.00%
GENTENG,https://pilkada2015.kpu.go.id/surabayakota/genteng,45.206,21.186,2.743,18.092,19.978,964,20.942,100.00%
GUBENG,https://pilkada2015.kpu.go.id/surabayakota/gubeng,98.06,52.152,7.014,44.701,50.612,738,51.227,100.00%
GUNUNG ANYAR,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar,37.074,21.146,2.19,18.248,20.855,278,21.123,100.00%
JAMBANGAN,https://pilkada2015.kpu.go.id/surabayakota/jambangan,32.424,19.918,2.741,16.954,19.595,323,19.918,100.00%
KARANGPILANG,https://pilkada2015.kpu.go.id/surabayakota/karangpilang,49.94,27.88,4.116,23.953,27.957,790,28.001,100.00%
KENJERAN,https://pilkada2015.kpu.go.id/surabayakota/kenjeran,97.368,50.694,6.183,43.012,48.484,754,49.24,100.00%
KREMBANGAN,https://pilkada2015.kpu.go.id/surabayakota/krembangan,80.977,41.129,6.515,33.751,40.269,691,40.96,100.00%
LAKARSANTRI,https://pilkada2015.kpu.go.id/surabayakota/lakarsantri,37.933,21.447,2.917,18.029,20.619,495,21.114,100.00%
MULYOREJO,https://pilkada2015.kpu.go.id/surabayakota/mulyorejo,63.222,29.075,3.575,24.548,28.126,630,28.809,100.00%
PABEAN CANTIKAN,https://pilkada2015.kpu.go.id/surabayakota/pabean_cantikan,56.122,24.942,4.124,19.999,24.123,518,24.638,100.00%
PAKAL,https://pilkada2015.kpu.go.id/surabayakota/pakal,32.89,20.893,2.367,18.262,20.529,364,20.893,100.00%
RUNGKUT,https://pilkada2015.kpu.go.id/surabayakota/rungkut,69.842,42.713,4.837,36.452,41.635,562,42.197,100.00%
SAMBIKEREP,https://pilkada2015.kpu.go.id/surabayakota/sambikerep,41.238,22.5,3.528,18.558,22.086,413,22.499,100.00%
SAWAHAN,https://pilkada2015.kpu.go.id/surabayakota/sawahan,148.253,77.955,11.572,64.811,76.114,1.579,77.719,100.00%
SEMAMPIR,https://pilkada2015.kpu.go.id/surabayakota/semampir,127.631,52.755,8.051,43.196,50.971,919,51.967,100.00%
SIMOKERTO,https://pilkada2015.kpu.go.id/surabayakota/simokerto,67.982,31.981,4.364,26.621,31.369,629,31.968,100.00%
SUKOLILO,https://pilkada2015.kpu.go.id/surabayakota/sukolilo,74.374,39.059,4.955,33.451,37.792,580,38.372,100.00%
SUKOMANUNGGAL,https://pilkada2015.kpu.go.id/surabayakota/sukomanunggal,66.796,37.186,4.706,31.659,36.336,565,36.612,100.00%
TAMBAKSARI,https://pilkada2015.kpu.go.id/surabayakota/tambaksari,153.028,81.281,9.636,69.273,79.992,1.278,81.28,100.00%
TANDES,https://pilkada2015.kpu.go.id/surabayakota/tandes,59.963,36.048,4.812,30.679,35.491,548,35.744,100.00%
TEGALSARI,https://pilkada2015.kpu.go.id/surabayakota/tegalsari,80.818,36.095,4.565,30.704,35.101,585,35.578,100.00%
TENGGILIS MEJOYO,https://pilkada2015.kpu.go.id/surabayakota/tenggilis_mejoyo,39.858,22.046,2.333,19.054,21.72,325,22.045,100.00%
WIYUNG,https://pilkada2015.kpu.go.id/surabayakota/wiyung,49.229,26.157,2.791,22.927,25.718,439,26.157,100.00%
WONOCOLO,https://pilkada2015.kpu.go.id/surabayakota/wonocolo,54.93,29.455,3.936,25.048,28.984,465,29.456,100.00%
WONOKROMO,https://pilkada2015.kpu.go.id/surabayakota/wonokromo,111.426,58.665,9.074,49.136,58.21,1.019,59.229,100.00%
