kelurahan,pemilih,pengguna_hak_pilih,perolehan_suara_1,perolehan_suara_2,suara_sah,suara_tidak_sah,total_suara,data_masuk,resource
ASEM ROWO,19.871,9.403,1.825,7.405,9.23,163,9.403,100.00%,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo
GENTING KALIANAK,4.7,2.709,503,2.14,2.643,66,2.709,100.00%,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo
TAMBAK SARIOSO,4.831,2.934,487,2.373,2.86,74,2.934,100.00%,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo
KANDANGAN,14.056,8.176,1.288,6.77,7.687,114,7.801,100.00%,https://pilkada2015.kpu.go.id/surabayakota/benowo
ROMOKALISARI,1.628,1.073,108,948,1.056,17,1.073,100.00%,https://pilkada2015.kpu.go.id/surabayakota/benowo
SEMEMI,20.901,12.416,1.453,10.756,12.209,207,12.416,100.00%,https://pilkada2015.kpu.go.id/surabayakota/benowo
TAMBAK OSOWILANGUN,2.184,1.395,201,1.162,1.363,32,1.395,100.00%,https://pilkada2015.kpu.go.id/surabayakota/benowo
ALUN-ALUN CONTONG,5.909,2.486,307,2.128,2.435,51,2.486,100.00%,https://pilkada2015.kpu.go.id/surabayakota/bubutan
BUBUTAN,10.571,5.124,833,4.196,5.029,95,5.124,100.00%,https://pilkada2015.kpu.go.id/surabayakota/bubutan
GUNDIH,18.746,8.693,1.346,7.424,8.61,309,8.919,100.00%,https://pilkada2015.kpu.go.id/surabayakota/bubutan
JEPARA,17.692,9.224,1.295,7.439,9.042,182,9.224,100.00%,https://pilkada2015.kpu.go.id/surabayakota/bubutan
TEMBOK DUKUH,18.341,10.246,1.46,8.578,10.038,208,10.246,100.00%,https://pilkada2015.kpu.go.id/surabayakota/bubutan
BULAK,13.194,7.794,785,6.723,7.508,115,7.623,100.00%,https://pilkada2015.kpu.go.id/surabayakota/bulak
KEDUNG COWEK,3.716,1.582,214,1.328,1.542,40,1.582,100.00%,https://pilkada2015.kpu.go.id/surabayakota/bulak
KENJERAN,3.785,1.956,473,1.457,1.93,26,1.956,100.00%,https://pilkada2015.kpu.go.id/surabayakota/bulak
SUKOLILO BARU,6.814,3.426,693,2.65,3.343,83,3.426,100.00%,https://pilkada2015.kpu.go.id/surabayakota/bulak
DUKUH KUPANG,10.641,5.292,742,4.458,5.2,88,5.192,100.00%,https://pilkada2015.kpu.go.id/surabayakota/dukuhpakis
DUKUH PAKIS,10.236,5.387,727,4.585,5.312,75,5.387,100.00%,https://pilkada2015.kpu.go.id/surabayakota/dukuhpakis
GUNUNG SARI,9.78,5.541,684,4.768,5.452,89,5.541,100.00%,https://pilkada2015.kpu.go.id/surabayakota/dukuhpakis
