kecamatan/_text,pemilih,pengguna_hak_pilih,perolehan_suara_1,perolehan_suara_2,suara_sah,suara_tidak_sah,total_suara,resources
TPS 1,677,184,87,94,181,3,184,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 2,620,294,42,247,289,5,294,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 3,551,283,30,247,277,6,283,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 4,390,232,36,192,228,4,232,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 5,542,298,40,252,292,6,298,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 6,494,259,45,210,255,4,259,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 7,448,255,34,220,254,1,255,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 8,487,262,43,215,258,4,262,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 9,512,226,56,167,223,3,226,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 10,534,216,28,186,214,2,216,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 11,391,243,36,204,240,3,243,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 12,451,293,47,244,291,2,293,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 13,463,268,31,234,265,3,268,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 14,447,269,47,220,267,2,269,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 15,488,245,41,196,237,8,245,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 16,602,220,35,178,213,7,220,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 17,422,131,22,105,127,4,131,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 18,446,189,43,139,182,7,189,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 19,404,183,24,157,181,2,183,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 20,407,156,65,81,146,10,156,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 21,610,158,63,94,157,1,158,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 22,643,239,29,207,236,3,239,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 23,478,128,31,94,125,3,128,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 24,660,279,120,155,275,4,279,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 25,580,307,26,276,302,5,307,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 26,597,297,57,232,289,8,297,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 27,579,371,30,333,363,8,371,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 28,605,145,26,119,145,0,145,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 29,545,316,50,261,311,5,316,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 30,408,210,36,168,204,6,210,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 31,403,207,49,156,205,2,207,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 32,526,258,71,174,245,3,258,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 33,422,186,57,128,185,1,186,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 34,551,217,58,155,213,4,217,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 35,585,301,62,232,294,7,301,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 36,544,287,50,234,284,3,287,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 37,513,316,71,236,307,9,316,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 38,451,233,46,185,231,2,233,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 39,395,242,61,178,239,3,242,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/asem_rowo
TPS 1,502,297,38,246,284,13,297,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/genting_kalianak
