id,kecamatan_id,nama
1,1,ASEM ROWO
2,1,GENTING KALIANAK
3,1,TAMBAK SARIOSO
4,2,KANDANGAN
5,2,ROMOKALISARI
6,2,SEMEMI
7,2,TAMBAK OSOWILANGUN
8,3,ALUN-ALUN CONTONG
9,3,BUBUTAN
10,3,GUNDIH
11,3,JEPARA
12,3,TEMBOK DUKUH
13,4,BULAK
14,4,KEDUNG COWEK
15,4,KENJERAN
16,4,SUKOLILO BARU
17,5,DUKUH KUPANG
18,5,DUKUH PAKIS
19,5,GUNUNG SARI
20,5,PRADAHKALIKENDAL
21,6,DUKUH MENANGGAL
22,6,GAYUNGAN
23,6,KETINTANG
24,6,MENANGGAL
25,7,EMBONG KALIASIN
26,7,GENTENG
27,7,KAPASARI
28,7,KETABANG
29,7,PENELEH
30,8,AIRLANGGA
31,8,BARATAJAYA
32,8,GUBENG
33,8,KERTAJAYA
34,8,MOJO
35,8,PUCANG SEWU
36,9,GUNUNG ANYAR
37,9,GUNUNG ANYAR TAMBAK
38,9,RUNGKUT MENANGGAL
39,9,RUNGKUT TENGAH
40,10,JAMBANGAN
41,10,KARAH
42,10,KEBONSARI
43,10,PAGESANGAN
44,11,KARANGPILANG
45,11,KEBRAON
46,11,KEDURUS
47,11,WARUGUNUNG
48,12,BULAK BANTENG
49,12,SIDOTOPO WETAN
50,12,TAMBAK WEDI
51,12,TANAH KALI KEDINDING
52,13,DUPAK
53,13,KEMAYORAN
54,13,KREMBANGAN SELATAN
55,13,MOROKREMBANGAN
56,13,PERAK BARAT
57,14,BANGKINGAN
58,14,JERUK
59,14,LAKARSANTRI
60,14,LIDAH KULON
61,14,LIDAH WETAN
62,14,SUMUR WELUT
63,15,DUKUH SUTOREJO
64,15,KALIJUDAN
65,15,KALISARI
66,15,KEJAWAAN PUTIH TAMBA
67,15,MANYAR SABRANGAN
68,15,MULYOREJO
69,16,BONGKARAN
70,16,KREMBANGAN UTARA
71,16,NYAMPLUNGAN
72,16,PERAK TIMUR
73,16,PERAK UTARA
74,17,BABAT JERAWAT
75,17,BENOWO
76,17,PAKAL
77,17,SUMBERREJO
78,18,KALIRUNGKUT
79,18,KEDUNG BARUK
80,18,MEDOKAN AYU
81,18,PENJARINGAN SARI
82,18,RUNGKUT KIDUL
83,18,WONOREJO
84,19,BRINGIN
85,19,LONTAR
86,19,MADE
87,19,SAMBIKEREP
88,20,BANYU URIP
89,20,KUPANG KRAJAN
90,20,PAKIS
91,20,PETEMON
92,20,PUTAT JAYA
93,20,SAWAHAN
94,21,AMPEL
95,21,PEGIRIAN
96,21,SIDOTOPO
97,21,UJUNG
98,21,WONOKUSUMO
99,22,KAPASAN
100,22,SIDODADI
101,22,SIMOKERTO
102,22,SIMOLAWANG
103,22,TAMBAKREJO
104,23,GEBANG PUTIH
105,23,KEPUTIH
106,23,KLAMPIS NGASEM
107,23,MEDOKAN SEMAMPIR
108,23,MENUR PUMPUNGAN
109,23,NGINDEN JANGKUNGAN
110,23,SEMOLOWARU
111,24,PUTAT GEDE
112,24,SIMOMULYO
113,24,SIMOMULYO BARU
114,24,SONOKWIJENAN
115,24,SUKOMANUNGGAL
116,24,TANJUNGSARI
117,25,DUKUH SETRO
118,25,GADING
119,25,KAPASMADYA BARU
120,25,PACAR KELING
121,25,PACARKEMBANG
122,25,PLOSO
123,25,RANGKAH
124,25,TAMBAKSARI
125,26,BALONGSARI
126,26,BANJAR SUGIHAN
127,26,KARANG POH
128,26,MANUKAN KULON
129,26,MANUKAN WETAN
130,26,TANDES
131,27,DR. SOETOMO
132,27,KEDUNGDORO
133,27,KEPUTRAN
134,27,TEGALSARI
135,27,WONOREJO
136,28,KENDANGSARI
137,28,KUTISARI
138,28,PANJANG JIWO
139,28,TENGILIS MEJOYO
140,29,BABATAN
141,29,BALAS KLUMPRIK
142,29,JAJAR TUNGGAL
143,29,WIYUNG
144,30,BENDUL MERISI
145,30,JEMUR WONOSARI
146,30,MARGOREJO
147,30,SIDOSERMO
148,30,SIWALAN KERTO
149,31,DARMO
150,31,JAGIR
151,31,NGAGEL
152,31,NGAGEL REJO
153,31,SAWUNGGALING
154,31,WONOKROMO
