id,kelurahan_id,nama
1,1,TPS 1
2,1,TPS 2
3,1,TPS 3
4,1,TPS 4
5,1,TPS 5
6,1,TPS 6
7,1,TPS 7
8,1,TPS 8
9,1,TPS 9
10,1,TPS 10
11,1,TPS 11
12,1,TPS 12
13,1,TPS 13
14,1,TPS 14
15,1,TPS 15
16,1,TPS 16
17,1,TPS 17
18,1,TPS 18
19,1,TPS 19
20,1,TPS 20
21,1,TPS 21
22,1,TPS 22
23,1,TPS 23
24,1,TPS 24
25,1,TPS 25
26,1,TPS 26
27,1,TPS 27
28,1,TPS 28
29,1,TPS 29
30,1,TPS 30
31,1,TPS 31
32,1,TPS 32
33,1,TPS 33
34,1,TPS 34
35,1,TPS 35
36,1,TPS 36
37,1,TPS 37
38,1,TPS 38
39,1,TPS 39
40,2,TPS 1
41,2,TPS 2
42,2,TPS 3
43,2,TPS 4
44,2,TPS 5
45,2,TPS 6
46,2,TPS 7
47,2,TPS 8
48,2,TPS 9
49,2,TPS 10
50,2,TPS 11
51,3,TPS 1
52,3,TPS 2
53,3,TPS 3
54,3,TPS 4
55,3,TPS 5
56,3,TPS 6
57,3,TPS 7
58,3,TPS 8
59,3,TPS 9
60,4,TPS 1
61,4,TPS 2
62,4,TPS 3
63,4,TPS 4
64,4,TPS 5
65,4,TPS 6
66,4,TPS 7
67,4,TPS 8
68,4,TPS 9
69,4,TPS 10
70,4,TPS 11
71,4,TPS 12
72,4,TPS 13
73,4,TPS 14
74,4,TPS 15
75,4,TPS 16
76,4,TPS 17
77,4,TPS 18
78,4,TPS 19
79,4,TPS 20
80,4,TPS 21
81,4,TPS 22
82,4,TPS 23
83,4,TPS 24
84,4,TPS 25
85,4,TPS 26
86,5,TPS 1
87,5,TPS 2
88,5,TPS 3
89,6,TPS 1
90,6,TPS 2
91,6,TPS 3
92,6,TPS 4
93,6,TPS 5
94,6,TPS 6
95,6,TPS 7
96,6,TPS 8
97,6,TPS 9
98,6,TPS 10
99,6,TPS 11
100,6,TPS 12
101,6,TPS 13
102,6,TPS 14
103,6,TPS 15
104,6,TPS 16
105,6,TPS 17
106,6,TPS 18
107,6,TPS 19
108,6,TPS 20
109,6,TPS 21
110,6,TPS 22
111,6,TPS 23
112,6,TPS 24
113,6,TPS 25
114,6,TPS 26
115,6,TPS 27
116,6,TPS 28
117,6,TPS 29
118,6,TPS 30
119,6,TPS 31
120,6,TPS 32
121,6,TPS 33
122,6,TPS 34
123,6,TPS 35
124,6,TPS 36
125,6,TPS 37
126,6,TPS 38
127,6,TPS 39
128,6,TPS 40
129,7,TPS 1
130,7,TPS 2
131,7,TPS 3
132,7,TPS 4
133,7,TPS 5
134,8,TPS 1
135,8,TPS 2
136,8,TPS 3
137,8,TPS 4
138,8,TPS 5
139,8,TPS 6
140,8,TPS 7
141,8,TPS 8
142,8,TPS 9
143,8,TPS 10
144,9,TPS 1
145,9,TPS 2
146,9,TPS 3
147,9,TPS 4
148,9,TPS 5
149,9,TPS 6
150,9,TPS 7
151,9,TPS 8
152,9,TPS 9
153,9,TPS 10
154,9,TPS 11
155,9,TPS 12
156,9,TPS 13
157,9,TPS 14
158,9,TPS 15
159,9,TPS 16
160,9,TPS 17
161,9,TPS 18
162,9,TPS 19
163,9,TPS 20
164,10,TPS 1
165,10,TPS 2
166,10,TPS 3
167,10,TPS 4
168,10,TPS 5
169,10,TPS 6
170,10,TPS 7
171,10,TPS 8
172,10,TPS 9
173,10,TPS 10
174,10,TPS 11
175,10,TPS 12
176,10,TPS 13
177,10,TPS 14
178,10,TPS 15
179,10,TPS 16
180,10,TPS 17
181,10,TPS 18
182,10,TPS 19
183,10,TPS 20
184,10,TPS 21
185,10,TPS 22
186,10,TPS 23
187,10,TPS 24
188,10,TPS 25
189,10,TPS 26
190,10,TPS 27
191,10,TPS 28
192,10,TPS 29
