lembaga,id_dapil,nama_dapil,id_partai,nama_partai,suara_calon_terpilih,peringkat_suara_calon_terpilih,suara_calon_semua,peringkat_suara_calon_semua,suara_partai,peringkat_suara_partai,jumlah_suara,peringkat_jumlah_suara
DPR,6302-00-0000,Kalsel II,5,Partai Golongan Karya,82130,1,144696,1,33351,2,178047,1
DPR,6302-00-0000,Kalsel II,4,Partai Demokrasi Indonesia Perjuangan,48611,4,80203,3,50362,1,130565,2
DPR,6302-00-0000,Kalsel II,2,Partai Kebangkitan Bangsa,81324,2,95205,2,22975,5,118180,3
DPR,6302-00-0000,Kalsel II,9,Partai Persatuan Pembangunan,65267,3,75862,4,24300,4,100162,4
DPR,6302-00-0000,Kalsel II,6,Partai Gerakan Indonesia Raya,31347,5,54125,5,27914,3,82039,5
DPR,6302-00-0000,Kalsel II,1,Partai NasDem,0,9,35577,7,18290,6,53867,6
DPR,6302-00-0000,Kalsel II,3,Partai Keadilan Sejahtera,0,10,36570,6,14098,9,50668,7
DPR,6302-00-0000,Kalsel II,7,Partai Demokrat,0,11,27390,8,15433,7,42823,8
DPR,6302-00-0000,Kalsel II,8,Partai Amanat Nasional,0,12,23513,9,11830,10,35343,9
DPR,6302-00-0000,Kalsel II,10,Partai Hati Nurani Rakyat,0,6,17714,10,14602,8,32316,10
DPR,6302-00-0000,Kalsel II,14,Partai Bulan Bintang,0,8,7517,11,4561,11,12078,11
DPR,6302-00-0000,Kalsel II,15,Partai Keadilan dan Persatuan Indonesia,0,7,2714,12,2321,12,5035,12
DPR,1202-00-0000,Sumut II,6,Partai Gerakan Indonesia Raya,270701,1,358433,1,38112,3,396545,1
DPR,1202-00-0000,Sumut II,4,Partai Demokrasi Indonesia Perjuangan,101415,2,240008,2,54910,1,294918,2
DPR,1202-00-0000,Sumut II,5,Partai Golongan Karya,59978,5,230128,3,41659,2,271787,3
DPR,1202-00-0000,Sumut II,7,Partai Demokrat,54940,6,225714,4,33017,4,258731,4
DPR,1202-00-0000,Sumut II,8,Partai Amanat Nasional,64869,4,179904,5,25052,6,204956,5
DPR,1202-00-0000,Sumut II,10,Partai Hati Nurani Rakyat,52666,7,169701,7,25155,5,194856,6
DPR,1202-00-0000,Sumut II,1,Partai NasDem,67555,3,172740,6,20451,8,193191,7
DPR,1202-00-0000,Sumut II,2,Partai Kebangkitan Bangsa,29657,9,98778,8,22901,7,121679,8
DPR,1202-00-0000,Sumut II,3,Partai Keadilan Sejahtera,40763,8,96184,9,18240,9,114424,9
DPR,1202-00-0000,Sumut II,9,Partai Persatuan Pembangunan,0,12,76318,10,15770,10,92088,10
DPR,1202-00-0000,Sumut II,14,Partai Bulan Bintang,0,11,38983,11,8454,11,47437,11
DPR,1202-00-0000,Sumut II,15,Partai Keadilan dan Persatuan Indonesia,0,10,24201,12,7004,12,31205,12
DPR,3504-00-0000,Jatim IV,2,Partai Kebangkitan Bangsa,94603,1,250472,1,88051,2,338523,1
DPR,3504-00-0000,Jatim IV,6,Partai Gerakan Indonesia Raya,87040,2,201319,2,84431,3,285750,2
DPR,3504-00-0000,Jatim IV,4,Partai Demokrasi Indonesia Perjuangan,43074,4,141600,3,107368,1,248968,3
DPR,3504-00-0000,Jatim IV,8,Partai Amanat Nasional,53559,3,109812,4,24879,9,134691,4
DPR,3504-00-0000,Jatim IV,7,Partai Demokrat,15975,7,79374,6,52369,5,131743,5
DPR,3504-00-0000,Jatim IV,5,Partai Golongan Karya,26436,5,85404,5,46263,6,131667,6
DPR,3504-00-0000,Jatim IV,1,Partai NasDem,22075,6,55258,8,59293,4,114551,7
DPR,3504-00-0000,Jatim IV,3,Partai Keadilan Sejahtera,0,11,57754,7,34527,7,92281,8
DPR,3504-00-0000,Jatim IV,9,Partai Persatuan Pembangunan,0,12,42368,9,30352,8,72720,9
DPR,3504-00-0000,Jatim IV,10,Partai Hati Nurani Rakyat,0,8,24863,10,21715,10,46578,10
DPR,3504-00-0000,Jatim IV,14,Partai Bulan Bintang,0,10,12203,11,10863,11,23066,11
DPR,3504-00-0000,Jatim IV,15,Partai Keadilan dan Persatuan Indonesia,0,9,3916,12,3306,12,7222,12
DPR,6401-00-0000,Kaltim,5,Partai Golongan Karya,153028,1,263164,1,99074,2,362238,1
DPR,6401-00-0000,Kaltim,4,Partai Demokrasi Indonesia Perjuangan,71177,3,197351,2,115223,1,312574,2
DPR,6401-00-0000,Kaltim,6,Partai Gerakan Indonesia Raya,84001,2,159407,3,63065,3,222472,3
DPR,6401-00-0000,Kaltim,7,Partai Demokrat,53283,4,111220,4,48757,4,159977,4
DPR,6401-00-0000,Kaltim,3,Partai Keadilan Sejahtera,53143,5,109279,5,35426,5,144705,5
DPR,6401-00-0000,Kaltim,9,Partai Persatuan Pembangunan,49839,6,103455,6,27926,8,131381,6
DPR,6401-00-0000,Kaltim,1,Partai NasDem,35142,7,88857,7,28260,7,117117,7
DPR,6401-00-0000,Kaltim,10,Partai Hati Nurani Rakyat,0,8,64683,9,33904,6,98587,8
DPR,6401-00-0000,Kaltim,8,Partai Amanat Nasional,0,12,73832,8,23166,10,96998,9
DPR,6401-00-0000,Kaltim,2,Partai Kebangkitan Bangsa,0,11,57073,10,27074,9,84147,10
DPR,6401-00-0000,Kaltim,14,Partai Bulan Bintang,0,10,29713,11,10873,11,40586,11
DPR,6401-00-0000,Kaltim,15,Partai Keadilan dan Persatuan Indonesia,0,9,23305,12,4352,12,27657,12
DPR,7301-00-0000,Sulsel I,5,Partai Golongan Karya,45717,6,171435,2,33853,1,205288,1
DPR,7301-00-0000,Sulsel I,7,Partai Demokrat,84480,2,180015,1,19637,4,199652,2
