id,id_wilayah,kategori_id,pemohon,termohon,obyek_sengketa,keputusan_putasan,upload_file,tanggal,parpol_pendukung
29,68187,,"M. Yahya HT, SH - Hendrik, SH., MH",KPU Kabupaten Tana Tidung,,Keputusan KPU Kabupaten Tana Tidung Nomor : 24/Kpts/KPU-KTT-021.964922/Tahun 2015 tentang Penetapan Pasangan Calon Bupati dan Wakil Bupati menjadi Peserta Pemilihan Bupati dan Wakil Bupati Tana Tidung Tahun 2015 tanggal 24 Agustus 2015,29_Keputusan Panwaslu Kabupaten Tana Tidung.pdf,9/10/2015 16:09,NULL
30,56789,,,,,,_Keputusan Panwaslu Kota Mataram.pdf,9/14/2015 9:36,NULL
31,56789,,"H. Salman, SH - Drs. Jana Hamdiana",KPU Kota Mataram,,Surat KPU Kota Mataram Nomor : 289/KPU-Kota-017.433892/VIII/2015 tanggal 3 Agustus 2015 tentang Pemberitahuan,31__Keputusan Panwaslu Kota Mataram.pdf,9/14/2015 9:36,NULL
32,22422,,,,,,_Keputusan Panwaslu Kabupaten Kaur.pdf,9/14/2015 9:44,NULL
33,22422,,"H. Zulkifli Jafar, S.IP - Z. Muslih",KPU Kabupaten Kaur,,Keputusan KPU Kabupaten Kaur Nomor : 25/KPU-Kab.Kaur/007.434351/2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon Bupati dan Wakil Bupati Kabupaten Kaur pada Pemilihan Bupati dan Wakil Bupati Kabupaten Kaur Tahun 2015 ,33__Keputusan Panwaslu Kabupaten Kaur.pdf,9/14/2015 9:45,NULL
34,16219,,,,,,_Keputusan Panwaslu Kabupaten Kuantan Singingi.pdf,9/14/2015 10:09,NULL
35,16219,,,,,,_Keputusan Panwaslu Kabupaten Kuantan Singingi.pdf,9/14/2015 10:10,NULL
36,16219,,"Indra Putra, ST - Komperensi, SP., M.Si",KPU Kabupaten Kuantan Singingi,,Keputusan KPU Kabupaten Kuantan Singingi Nomor : 72/Kpts/KPU-Kab-004.435177/VIII/2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon Bupati dan Wakil Bupati Peserta Pemilihan Bupati dan Wakil Bupati Kuantan Singingi Tahun 2015,36__Keputusan Panwaslu Kabupaten Kuantan Singingi.pdf,9/14/2015 10:10,NULL
37,62673,,,,,,_Keputusan Bawaslu Provinsi Kalimantan Tengah.pdf,9/14/2015 10:23,NULL
38,62673,,H. Sugianto Sabran - Habib H. Said Ismail,KPU Provinsi Kalimantan Tengah,,Keputusan KPU Provinsi Kalimantan Tengah Nomor : 30/Kpts/KPU-Prov-020/2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon Gubernur dan Wakil Gubernur sebagai Peserta Pemilihan Gubernur dan Wakil Gubernur Kalimantan Tengah Tahun 2015,38__Keputusan Bawaslu Provinsi Kalimantan Tengah.pdf,9/14/2015 10:24,Partai Gerindra
38,62673,,H. Sugianto Sabran - Habib H. Said Ismail,KPU Provinsi Kalimantan Tengah,,Keputusan KPU Provinsi Kalimantan Tengah Nomor : 30/Kpts/KPU-Prov-020/2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon Gubernur dan Wakil Gubernur sebagai Peserta Pemilihan Gubernur dan Wakil Gubernur Kalimantan Tengah Tahun 2015,38__Keputusan Bawaslu Provinsi Kalimantan Tengah.pdf,9/14/2015 10:24,PDI Perjuangan
38,62673,,H. Sugianto Sabran - Habib H. Said Ismail,KPU Provinsi Kalimantan Tengah,,Keputusan KPU Provinsi Kalimantan Tengah Nomor : 30/Kpts/KPU-Prov-020/2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon Gubernur dan Wakil Gubernur sebagai Peserta Pemilihan Gubernur dan Wakil Gubernur Kalimantan Tengah Tahun 2015,38__Keputusan Bawaslu Provinsi Kalimantan Tengah.pdf,9/14/2015 10:24,PARTAI BULAN BINTANG
38,62673,,H. Sugianto Sabran - Habib H. Said Ismail,KPU Provinsi Kalimantan Tengah,,Keputusan KPU Provinsi Kalimantan Tengah Nomor : 30/Kpts/KPU-Prov-020/2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon Gubernur dan Wakil Gubernur sebagai Peserta Pemilihan Gubernur dan Wakil Gubernur Kalimantan Tengah Tahun 2015,38__Keputusan Bawaslu Provinsi Kalimantan Tengah.pdf,9/14/2015 10:24,Partai Demokrat
39,26067,,,,,,_Keputusan Panwaslu Kabupaten Pesisir Barat.pdf,9/14/2015 13:23,NULL
40,26067,,"Drs. H. Juwilir Syam, MA - Al Saqiq Hafid, SH., SE., MM",KPU Kabupaten Pesisir Barat,,Berita Acara KPU Kabupaten Lampung Barat Nomor : 16.13/BA/KPU-KAB/008.435579/VII/2015 tanggal 28 Juli 2015 tentang Penetapan Pasangan Pasangan Bakal Calon Bupati dan Wakil Bupati Kabupaten Pesisir Barat Tahun 2015,40__Keputusan Panwaslu Kabupaten Pesisir Barat.pdf,9/14/2015 13:24,NULL
41,72451,,,,,,_Keputusan Panwaslu Kabupaten Kepulauan Selayar.pdf,9/14/2015 13:41,NULL
42,72451,,"Aji Sumarno, S.STP., MM - Drs. Abdul Gani, M.Pd.I",KPU Kabupaten Kepulauan Selayar,,Berita Acara KPU Kabupaten Kepulauan Selayar Nomor : 74/BA/VIII/2015 tanggal 4 Agustus 2015 tentang Hasil Penelitian Persyaratan Administrasi Dokumen Persyaratan Pencalonan dan Persyaratan Calon dalam Pemilihan Bupati dan Wakil Bupati Kepulauan Selayar Tahun 2015,42__Keputusan Panwaslu Kabupaten Kepulauan Selayar.pdf,9/14/2015 13:41,NULL
43,64396,,,,,,_Keputusan Bawaslu Provinsi Kalimantan Selatan.pdf,9/14/2015 16:08,NULL
44,64396,,"H. Gusti Iskandar Sukma Alamsyah, SE., MH - DR. Karyono Ibnu Ahmad",KPU Provinsi Kalimantan Selatan,,Berita Acara KPU Provinsi Kalimantan Selatan Nomor : 026/BA/VII/2015 tanggal 28 Juli 2015 tentang Penelitian Persyaratan Pencalonan Pemilihan Gubernur dan Wakil Gubernur Kalimantan Selatan Tahun 2015,44__Keputusan Bawaslu Provinsi Kalimantan Selatan.pdf,9/14/2015 16:08,NULL
45,66725,,,,,,_Keputusan Panwaslu Kabupaten Kutai Kartanegara.pdf,9/14/2015 16:32,NULL
46,66725,,"Idham Khalid - Abdul Kadir, S.Ag",KPU Kabupaten Kutai Kartanegara,,Keputusan KPU Kabupaten Kutai Kartanegara Nomor : 104/Kpts/KPU-Kukar/021.436157/2015 tanggal 24 Agustus 2015 tentang Pasangan Calon Bupati dan Wakil Bupati Kutai Kartanegara Yang Tidak Memenuhi Syarat (TMS) Tahun 2015,46__Keputusan Panwaslu Kabupaten Kutai Kartanegara.pdf,9/14/2015 16:33,NULL
47,89235,,,,,,_Keputusan Panwaslu Kabupaten Kaimana.pdf,9/14/2015 17:27,NULL
48,89235,,"Drs. Matias Mairuma - Ismail Sirfefa, S.Sos., MH",KPU Kabupaten Kaimana,,Keputusan KPU Kabupaten Kaimana Nomor : 32/KPU-KAB-032/VIII/2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon Peserta Pemilihan Bupati dan Wakil Bupati Kaimana Tahun 2015,48__Keputusan Panwaslu Kabupaten Kaimana.pdf,9/14/2015 17:28,NULL
