id,text,url_small,width_small,height_small,url_medium,width_medium,height_medium,url_large,width_large,height_large
001,Vote for the Future,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-01-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-01-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-01-lg.png,800,800
002,Your Voice Matters!,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-02-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-02-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-02-lg.png,800,800
003,Vote! Indonesia! 2014,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-03-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-03-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-03-lg.png,800,800
004,Every Vote Counts,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-04-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-04-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-04-lg.png,800,800
005,People Rule!,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-05-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-05-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-05-lg.png,800,800
006,It's Cool to Vote,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-06-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-06-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-06-lg.png,800,800
007,Menuju Istana Negara,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-07-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-07-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-07-lg.png,800,800
008,Be Responsible!,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-08-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-08-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-08-lg.png,800,800
009,Suarakan Suaramu,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-09-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-09-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-09-lg.png,800,800
010,No Vote = No Complaint,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-10-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-10-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-10-lg.png,800,800
