id_stamp,tag
001,vote
001,future
001,diamond
002,voice
002,circle
003,vote
003,indonesia
003,circle
003,ribbon
004,vote
004,shield
005,people
005,shield
006,vote
006,pentagon
007,istana
007,negara
007,shield
008,responsibility
008,shield
008,circle
009,suaramu
009,megafon
009,shield
010,vote
010,complaint
010,shield
011,vote
011,shield
012,vote
012,circle
012,shield
013,vote
013,kotak suara
013,shield
014,nation
014,decision
014,kotak suara
014,shield
015,future
015,shield
015,ribbon
016,pinky
016,jari
016,ungu
016,shield
016,ribbon
017,pilih
017,warnamu
017,shield
018,pilih
018,perubahan
018,shield
019,indonesia
019,choose
019,shield
019,ribbon
020,voice
020,seal
020,ribbon
021,pilih
021,profil
021,shield
022,demokrasi
022,shield
023,vote
023,love
023,heart
023,hati
023,ribbon
023,circle
024,suaramu
024,shield
024,ribbon
025,gaul
025,coblos
025,seal
025,ribbon
026,vote
026,love
026,shield
026,heart
026,hati
027,pilih
027,hati
027,shield
028,vote
028,shield
028,ribbon
029,july
029,mark
029,shield
030,vote
030,vision
030,shield
031,jokowi
031,kalla
031,tangan
031,shield
032,jokowi
032,kalla
032,shield
032,ribbon
033,jokowi
033,vote
033,seal
033,ribbon
034,jokowi
034,kalla
034,indonesia
034,shield
034,ribbon
035,jokowi
035,kalla
035,indonesia
035,hebat
035,shield
036,jokowi
036,indonesia
036,hebat
036,shield
036,ribbon
037,jokowi
037,kalla
037,2014
037,circle
038,jokowi
038,kalla
038,2014
038,shield
038,ribbon
039,jokowi
039,kalla
039,kerja
039,shield
040,jokowi
040,president
040,shield
040,ribbon
041,jokowi
041,kalla
041,indonesia
041,choose
041,shield
041,ribbon
042,jokowi
042,kalla
042,membumi
042,sederhana
042,merakyat
042,shield
042,circle
043,jokowi
043,kalla
043,pemimpin
043,bangsa
043,shield
043,ribbon
043,garuda
044,jokowi
044,kalla
044,muda
044,gerakcepat
044,url
044,hashtag
044,shield
045,jokowi
045,circle
045,ribbon
046,prabowo
046,vote
046,seal
047,prabowo
047,choose
047,2014
047,shield
047,ribbon
048,prabowo
048,hatta
048,2014
048,shield
048,ribbon
049,prabowo
049,2014
049,shield
050,prabowo
050,negara
050,kuat
050,circle
050,ribbon
051,prabowo
051,shield
051,ribbon
052,prabowo
052,tegas
052,shield
052,circle
053,prabowo
053,selamatkan
053,indonesia
053,url
053,shield
054,prabowo
054,dukung
054,shield
055,prabowo
055,pemimpin
055,bangsa
055,shield
055,ribbon
056,prabowo
056,shield
056,ribbon
057,prabowo
057,garuda
057,shield
058,prabowo
058,patriotisme
058,shield
059,prabowo
059,indonesia
059,shield
059,ribbon
060,prabowo
060,peduli
060,shield
