id,struktur id,jabatan,nama,parent_id
1,1,KETUA,"Husni Kamil Manik, S.P",0
2,1,ANGGOTA,"Sigit Pamungkas, S.IP., MA",1
3,1,ANGGOTA,"Arief Budiman, S.S., S.IP., MBA",1
4,1,ANGGOTA,"Ida Budhiati, SH., MH",1
5,1,ANGGOTA,"Juri Ardiantoro, M.Si",1
6,1,ANGGOTA,"Dr. Ferry Kurnia Rizkiyansyah, S.IP., M.Si",1
7,1,ANGGOTA,Drs. Hadar Nafis Gumay,1
8,2,KETUA,"Ridwan Hadi, SH",0
9,2,ANGGOTA,Drs. Basri M. Sabi,8
10,2,ANGGOTA,Robby Syah Putra,8
11,2,ANGGOTA,"Fauziah, ST",8
12,2,ANGGOTA,"Junaidi, S.Ag, MH",8
13,2,ANGGOTA,"Hendra Fauzi, S.Si.T",8
14,2,ANGGOTA,"Muhammad, SE, Ak",8
15,3,KETUA,"Bagahia, SH",0
16,3,ANGGOTA,"Marzalita, SE",15
17,3,ANGGOTA,"Sabki Habli, S.Sos",15
18,3,ANGGOTA,Saiful Asra,15
19,3,ANGGOTA,"Fadlina, SP",15
20,4,KETUA,Muhammad Jakfar,0
21,4,ANGGOTA,"Elfiza, SH, MH",20
22,4,ANGGOTA,Hasbi,20
23,4,ANGGOTA,"Sayed Masyukur, SH",20
24,4,ANGGOTA,Muhammad Zikri,20
25,5,KETUA,"Cut Agus Fathillah, SH",0
26,5,ANGGOTA,"Muhammad Nizar, S.Fil.I",25
27,5,ANGGOTA,"Hafidh, S.Sos.I",25
28,5,ANGGOTA,"Muhammad Junaidi, S.Sos.I",25
29,5,ANGGOTA,Junaidi,25
30,6,KETUA,"Helmi Syahrizal, SE",0
31,6,ANGGOTA,"Aiyuddin, SH",30
32,6,ANGGOTA,Afrizal,30
33,6,ANGGOTA,Sofyan Ali,30
34,6,ANGGOTA,Yadwan,30
35,7,KETUA,"Syamsu Hardi, SP",0
36,7,ANGGOTA,Nasri Zahoery,35
37,7,ANGGOTA,"Khairunis Absyir, ST",35
38,7,ANGGOTA,"Edi Saputra, ST",35
39,7,ANGGOTA,"Saiful, SE",35
40,8,KETUA,"Yarwin Adi Dharma, S.Pt",0
41,8,ANGGOTA,Dodi,40
42,8,ANGGOTA,Syahrial,40
43,8,ANGGOTA,Tita Rospita,40
44,8,ANGGOTA,Rahmi Syukur,40
45,9,KETUA,"M. Alhamda, S.HI",0
46,9,ANGGOTA,"Kemalawati, MA",45
47,9,ANGGOTA,Ir. Izuddin,45
48,9,ANGGOTA,"Ishak Ibrahim, S.Pd",45
49,9,ANGGOTA,Adi Sartika,45
50,10,KETUA,"Tanwir, S.E.",0
51,10,ANGGOTA,Juarsih,50
52,10,ANGGOTA,"Marwansyah, S.HI.",50
53,10,ANGGOTA,"Azanollah, S.H.",50
54,10,ANGGOTA,Asri Bukit,50
55,11,KETUA,"Dedy Mulyadi Selian, ST",0
56,11,ANGGOTA,Fitriana,55
57,11,ANGGOTA,Zailani,55
58,11,ANGGOTA,Budiman Pasaribu,55
59,11,ANGGOTA,Budiman Pasaribu,55
60,12,KETUA,"Ismail, S.Ag",0
61,12,ANGGOTA,Drs. Ridwan Suud,60
62,12,ANGGOTA,"Syahrul, S.Sos.I",60
63,12,ANGGOTA,"Ilyas, S.Pd.I",60
64,12,ANGGOTA,"Safwan, S.Ag, MH",60
65,13,KETUA,"Jufri Sulaiman, S.Sos",0
66,13,ANGGOTA,Rizwan H.Ali,65
67,13,ANGGOTA,Ayi Jufridar,65
68,13,ANGGOTA,Khairul Muklis,65
69,13,ANGGOTA,Muhammad Sayuni,65
70,14,KETUA,"Yusrijal Faini, SH",0
71,14,ANGGOTA,"Sufianto, M.S",70
72,14,ANGGOTA,"Iwan Kurnia, SE",70
73,14,ANGGOTA,"Sunaryadi, SE",70
74,14,ANGGOTA,"Anwar Hidayah Dahri, S.Pd.I",70
75,15,KETUA,"Mukhtaruddin, SH, MH",0
76,15,ANGGOTA,"Nurdin, SE",75
77,15,ANGGOTA,"Agusni, SP",75
78,15,ANGGOTA,"Edi Safwan, SE",75
79,15,ANGGOTA,Saiful Hadi,75
80,16,KETUA,Alfin Anhar,0
81,16,ANGGOTA,"Sri Yani Selian, SE",80
82,16,ANGGOTA,"Abdullah, BA",80
83,16,ANGGOTA,Said Abdullah,80
84,16,ANGGOTA,Ridwansyah,80
85,17,KETUA,"Ridwan, S.Pd",0
86,17,ANGGOTA,"T. Syamsul Bahri, S.Pd",85
87,17,ANGGOTA,"Muhammad Diah Adam, SH",85
88,17,ANGGOTA,"Heri Saputra, A.Md",85
89,17,ANGGOTA,Drs. Muddin,85
90,18,KETUA,"Musman, SH",0
91,18,ANGGOTA,"Cut Nur Azizah, SE",90
92,18,ANGGOTA,"Firmansyah, SH",90
93,18,ANGGOTA,"Abdullah, SH",90
94,18,ANGGOTA,Ir. T. Barzani,90
95,19,KETUA,"Nagor, A.Ma.Pd",0
96,19,ANGGOTA,"M.Daud H, S.Pd, M.Pd",95
97,19,ANGGOTA,"Ikramullah HF, SE",95
98,19,ANGGOTA,"Chairuddin T, SE",95
99,19,ANGGOTA,Marzan,95
100,20,KETUA,"Munawarsyah, S.HI, MA",0
101,20,ANGGOTA,"Aidil Azhari, S.H.",100
102,20,ANGGOTA,Drs. M. Dahlan,100
103,20,ANGGOTA,"Ranisah, S.E.",100
104,20,ANGGOTA,"Indra Niwaldi, S.Sos.",100
105,21,KETUA,"Agusni. AH, SE",0
106,21,ANGGOTA,"Ngatiman, S.Pd",105
107,21,ANGGOTA,"Marida Fitriani, S.P.",105
108,21,ANGGOTA,"Kasrun, S.E.",105
109,21,ANGGOTA,"Syukri, S.T.",105
110,22,KETUA,Syahrir M.Daud,0
111,22,ANGGOTA,"Yuswardi Mustafa, S.Ag",110
112,22,ANGGOTA,"Dedy Syahputra, SH, MH",110
113,22,ANGGOTA,Armia M.Nur,110
114,22,ANGGOTA,"Abdul Hakim, SE",110
115,23,KETUA,"Marzuki Harun, M.Sc",0
116,23,ANGGOTA,"Seniwati, SH",115
117,23,ANGGOTA,"Eddy Syahputra, SH",115
118,23,ANGGOTA,"Tris Kurniawan, ST",115
119,23,ANGGOTA,"Zainal Faizin, S.Ag",115
120,24,KETUA,Drs. Syarkawi,0
121,24,ANGGOTA,Sumardi,120
122,24,ANGGOTA,"Irwanto Harahap, SH",120
123,24,ANGGOTA,"Heri Mulyadi, SE",120
124,24,ANGGOTA,Alamin,120
125,25,KETUA,"Mulia Banurea, S.Ag, M.Si",0
126,25,ANGGOTA,"Nazir Salim Manik, S.Sos, M.SP",125
127,25,ANGGOTA,"Dra. Evi Novida Ginting, M.SP",125
128,25,ANGGOTA,Ir. Benget Silitonga,125
129,25,ANGGOTA,"Yulhasni, SS",125
130,26,KETUA,"Darwis Sianipar, S.Ag",0
131,26,ANGGOTA,M. Yusuf Sinambela,130
132,26,ANGGOTA,Anawinta,130
133,26,ANGGOTA,Muhammad Rito,130
134,26,ANGGOTA,"Edi Syam, S.HI",130
135,27,KETUA,"Muksin Khalid, SE",0
136,27,ANGGOTA,"Mustafa, SH.I",135
137,27,ANGGOTA,"M. Amin Lubis, SH.I",135
138,27,ANGGOTA,"Alhusain, ST",135
139,27,ANGGOTA,"Taufik Abdi Hidayat, S.Sos",135
140,28,KETUA,"H. Sudirman Manik, S. Pdi, M.M",0
141,28,ANGGOTA,"Syamsul Kudadiri, SH",140
142,28,ANGGOTA,"Hartono Maha, S. Pdi",140
143,28,ANGGOTA,"Tambar Malum Sagala, SH",140
144,28,ANGGOTA,Freddy,140
145,29,KETUA,"Erwin Lubis, S. Hi",0
146,29,ANGGOTA,"Timo Dahlia Daulay, SH",145
147,29,ANGGOTA,"Drs. Arifin Sihombing, M. Si",145
148,29,ANGGOTA,"Rahmat, S. Ag",145
149,29,ANGGOTA,"Abor M. Dawud Faza, MA",145
150,30,KETUA,"Eviasi Manalu, S.Pd",0
151,30,ANGGOTA,"Deliani Herawati Saragih, SE",150
152,30,ANGGOTA,"Leonard Pasaribu, S.Pd",150
153,30,ANGGOTA,Drs. James Hutasoit,150
154,30,ANGGOTA,"Komas Manalu, ST",150
155,31,KETUA,"Hj. Ira Witarti, S. Ag, M.Pd",0
156,31,ANGGOTA,"Ilham Maulan, SE",155
157,31,ANGGOTA,"Idham, S.Pd",155
158,31,ANGGOTA,"Wahyudi, S.Sos",155
159,31,ANGGOTA,Ghazali Harahap,155
160,32,KETUA,"Imran Husaini Siregar, SP",0
161,32,ANGGOTA,"Irwansyah, S. Sos",160
162,32,ANGGOTA,"Khairul Mubarrik Harahap, SE",160
163,32,ANGGOTA,"Salim, S. Ag",160
164,32,ANGGOTA,"Efendi Pasaribu, SE, M.AP",160
165,33,KETUA,"Hj. Betri Megawati, M.Ag",0
166,33,ANGGOTA,Mauli Sitorus,165
167,33,ANGGOTA,"Sangkot Azhar Rambe, S.HI, M.Hum",165
168,33,ANGGOTA,"Martan, SH",165
169,33,ANGGOTA,"Rahmad Efendy Tambunan, Amd",165
170,34,KETUA,"Adlina Sarah, A. Md",0
171,34,ANGGOTA,"Agus Arifin, S.Sos",170
172,34,ANGGOTA,"Muhammad Khair, S.Pdi",170
173,34,ANGGOTA,"Sopian Sitepu, S.Sos",170
174,34,ANGGOTA,"Tengku Muhammad Benyamin, SE",170
175,35,KETUA,"Agus Salam, SH.I",0
176,35,ANGGOTA,"Fadhillah Syarif, SH",175
177,35,ANGGOTA,"Mas Khairani, SS",175
178,35,ANGGOTA,"Budi Aryansyah, ST",175
179,35,ANGGOTA,"Akhir Mada, S. Pd. I",175
180,36,KETUA,"Abineri Gulo, S.Th",0
181,36,ANGGOTA,"Otahogo Waruwu, SE",180
182,36,ANGGOTA,"Angenano Ndaraha, Ir",180
183,36,ANGGOTA,"Imam Murni Telaumbanua, S. Th",180
184,36,ANGGOTA,Firman Mendrofa,180
185,37,KETUA,Fansolidarman Dachi,0
186,37,ANGGOTA,Irene Mayriska Laowo,185
187,37,ANGGOTA,"Sumangeli Mendrofa, SE",185
188,37,ANGGOTA,"Manolododo Daliwu, S. Kom",185
189,37,ANGGOTA,"Deskarnial Zagoto, SE",185
190,38,KETUA,Ir. Otorius Harefa,0
191,38,ANGGOTA,Agustinus Hulu,190
192,38,ANGGOTA,"Evorianus Harefa, SH",190
193,38,ANGGOTA,"Inotonia Zega, M. Th",190
194,38,ANGGOTA,Haogolala Gea,190
195,39,KETUA,Ir. Cakra Eli Gulo,0
196,39,ANGGOTA,"Maranata Gulo, S.Pd",195
197,39,ANGGOTA,Famataro Zai,195
198,39,ANGGOTA,"Efori Zaluchu, ST",195
199,39,ANGGOTA,Yamanzaro Halawa,195
200,40,KETUA,"Syarifuddin Daulay, S. Ag",0
201,40,ANGGOTA,"Rahmat Efendi Siregar, SS",200
202,40,ANGGOTA,"Rahmat Habinsaran Daulay, S.Pd",200
203,40,ANGGOTA,"Amran Pulungan, SE, M. SP",200
204,40,ANGGOTA,"Indra Syahbana Nasution, SH",200
205,41,KETUA,Drs. Safri Siregar,0
206,41,ANGGOTA,"Muhammad Ali Ansor, S. Ag",205
207,41,ANGGOTA,"Arifudin Muda Harahap, SH, M.Hum",205
208,41,ANGGOTA,"Masnilam Hasibuan, SE",205
209,41,ANGGOTA,H. Ramlan Harahap,205
210,42,KETUA,Sahitar Berutu,0
211,42,ANGGOTA,Ren Haney Lorawaty Manik,210
212,42,ANGGOTA,Sahrun Kudadiri,210
213,42,ANGGOTA,Tunggul Monang Bancin,210
214,42,ANGGOTA,Daulat Merhukum Solin,210
215,43,KETUA,"Suhadi S. Situmorang, SH, MH",0
216,43,ANGGOTA,"Fernando Sitanggang, SH, MH",215
217,43,ANGGOTA,"Robinsar Junaidi Barus, SH",215
218,43,ANGGOTA,"Jonsen Situmorang, A. Md",215
219,43,ANGGOTA,"Ika Rolina Samosir, SP",215
220,44,KETUA,"H. Muahammad Sofian, ST",0
221,44,ANGGOTA,"Badrun, Dipl. Ek",220
222,44,ANGGOTA,"Anda Radiansyah Ali, S.p",220
223,44,ANGGOTA,"Edi Susilo, SE, MM",220
224,44,ANGGOTA,"Ir. Muhammad Rizwan, MP",220
225,45,KETUA,Porang Harahap,0
226,45,ANGGOTA,"Abd Razak Siregar, S.PdI",225
227,45,ANGGOTA,"Adelbert Damanik, ST",225
228,45,ANGGOTA,"Puji Rahmad Harahap, S.PdI",225
229,45,ANGGOTA,Rahmadani Sari Isni Damanik,225
230,46,KETUA,"Benyamin Pinem, ST, MM",0
231,46,ANGGOTA,"Jesaya H. Pulungan, SH",230
232,46,ANGGOTA,"Anwar Mega Tarigan, SH",230
233,46,ANGGOTA,"Rahel Sukatendel, S. Sos, M.Si",230
234,46,ANGGOTA,"Gemar Tarigan, ST",230
235,47,KETUA,Ir. Potan Edi Siregar,0
236,47,ANGGOTA,"Rafikah nawary, SH, S. Pd",235
237,47,ANGGOTA,Panataran Simanjuntak,235
238,47,ANGGOTA,"Syawaluddin Lubis, S. Sos",235
239,47,ANGGOTA,"Mustar Edi Hutasuhut, SH",235
240,48,KETUA,Ir. Dewi Elifriana,0
241,48,ANGGOTA,Azwar Sitompul,240
242,48,ANGGOTA,"Safrun Nadir Simatupang, S.Sos",240
243,48,ANGGOTA,"Timbul Panggabean, SH",240
244,48,ANGGOTA,"Ir. Halomoan F.L. Tobing, MM",240
245,49,KETUA,"Rudolf Sirait, SH",0
246,49,ANGGOTA,"Kopman Pasaribu, ST, SH",245
247,49,ANGGOTA,"Galumbang Hutagalung, SE, MM, Ph.D",245
248,49,ANGGOTA,"Barisman Panggabean, ST",245
249,49,ANGGOTA,Dra. Junita Siregar,245
250,50,KETUA,Rinto P. Hutapea,0
251,50,ANGGOTA,Sahat Sibarani,250
252,50,ANGGOTA,"Lamria Panjaitan, SH",250
253,50,ANGGOTA,Jonny Harahap,250
254,50,ANGGOTA,Batara Tambunan,250
255,51,KETUA,"Herry Dani, SE, M, AB",0
256,51,ANGGOTA,Chaisal Andrio,255
257,51,ANGGOTA,Zulfan Effendi,255
258,51,ANGGOTA,Rafli Surbakti,255
259,51,ANGGOTA,Labbayk Simajorang,255
260,52,KETUA,Yenni Chairani Rambe,0
261,52,ANGGOTA,Edy Suhartono,260
262,52,ANGGOTA,Pandapotan Tamba,260
263,52,ANGGOTA,Rahmat Kartolo Simanjuntak,260
264,52,ANGGOTA,"Irwansyah, S. HI. MH",260
265,53,KETUA,"Ahmad Rasid, S.Pd",0
266,53,ANGGOTA,"Arbanur Rasyid, MA",265
267,53,ANGGOTA,Drs. Hatimbulan siregar,265
268,53,ANGGOTA,"Hotma Rido Ranto Siregar, S. A, M. Si",265
269,53,ANGGOTA,"Muktar Helmi, S.Pd.I",265
270,54,KETUA,"Mangasi Tua Purba, SH",0
271,54,ANGGOTA,"Batara Manurung, S. Pd",270
272,54,ANGGOTA,Drs. Amril Zein,270
273,54,ANGGOTA,"Riswaty Panjaitan, M. Th",270
274,54,ANGGOTA,"Jafar Sidik Saragih, S. Thi",270
275,55,KETUA,"Nadzran SE, M. MPd",0
276,55,ANGGOTA,"Aswin Caniago, ST",275
277,55,ANGGOTA,"Muhammad Aminsyah Simamora, SH",275
278,55,ANGGOTA,"Asa Dame Simanjuntak, SH",275
279,55,ANGGOTA,"Salmon Tambunan, S.Pd, M.Pd",275
280,56,KETUA,"Amrizal, SE",0
281,56,ANGGOTA,"Dahwani Fitri, S, Ag",280
282,56,ANGGOTA,Jamin Marudut Damanik,280
283,56,ANGGOTA,"Irfan Nasution, S. Sos",280
284,56,ANGGOTA,"Gustan, S.Sos",280
285,57,KETUA,"Abdul Khair, S. Ag",0
286,57,ANGGOTA,"Zuklkifli M. Hasan, S.Pd, SE, M.Kom",285
287,57,ANGGOTA,Bukhori,285
288,57,ANGGOTA,"Ridwan Napitupulu, SH",285
289,57,ANGGOTA,"Wal Ashri, SP",285
290,58,KETUA,Sokhiatulo Harefa,0
291,58,ANGGOTA,"Arifin Telambanua, SH",290
292,58,ANGGOTA,"Drs. Aroli Hulu, MM",290
293,58,ANGGOTA,"Asli Zendrato, SH",290
294,58,ANGGOTA,"Hamdan Teleumbanua, SH",290
295,59,KETUA,"Ammasmen, SH",0
296,59,ANGGOTA,"Drs. M. Mufti Syarfie, MM",295
297,59,ANGGOTA,"Fikon, S.Pt",295
298,59,ANGGOTA,"Nova Indra, ST",295
299,59,ANGGOTA,"Nurhaida Yetti, SH, MH",295
300,60,KETUA,"Alhadi, S.HI",0
301,60,ANGGOTA,Drs. Eri Efendi,300
302,60,ANGGOTA,"Muhammad Muslim, SEI",300
303,60,ANGGOTA,"Riko Antoni, S.IP",300
304,60,ANGGOTA,"Izwaryani, S.Ag",300
305,61,KETUA,"Kasasi, S.Pd.SD",0
306,61,ANGGOTA,"Yanuk Sri Mulyani, SH",305
307,61,ANGGOTA,"Zainal Efendi, S.Ag",305
308,61,ANGGOTA,"Halimatus Sa`diah, S.PdI, M.Pd",305
309,61,ANGGOTA,"Rizal Gusmendra, S.TP",305
310,62,KETUA,"Andres, SE",0
311,62,ANGGOTA,"Arief, SH",310
312,62,ANGGOTA,Martina Seppungan,310
313,62,ANGGOTA,"Mandrofen, SE",310
314,62,ANGGOTA,"Laurensius, SH",310
315,63,KETUA,"Ismet Aljannata, S. Fil.I",0
316,63,ANGGOTA,"Rina Fitri, S.Pt",315
317,63,ANGGOTA,"Budi Mulya, A.Md",315
318,63,ANGGOTA,"Hadi Suhaimi, S.PdI",315
319,63,ANGGOTA,Ilham Yusardi,315
320,64,KETUA,"Vifner, SH",0
321,64,ANGGOTA,"Drs. Zulfami, M.Pd",320
322,64,ANGGOTA,"Zulnaidi, SH",320
323,64,ANGGOTA,"Mailinursal, SE",320
324,64,ANGGOTA,"Zulhijasmar, ST",320
325,65,KETUA,"Jajang Fadli, S.Pt",0
326,65,ANGGOTA,"Aslamiyah, SH",325
327,65,ANGGOTA,"Ajriaman, ST",325
328,65,ANGGOTA,"Aprina Herawati, NST, S.TP",325
329,65,ANGGOTA,Rodi Andermi,325
330,66,KETUA,"Syafrinaldi, SE",0
331,66,ANGGOTA,"Eki Kurniawan, SE",330
332,66,ANGGOTA,"Baldi Pramana, SH",330
333,66,ANGGOTA,"Mardayanti, SE",330
334,66,ANGGOTA,"Abdul Gafur, S.Pd.I",330
335,67,KETUA,"Epaldi, SE",0
336,67,ANGGOTA,"Toni Marsi, SH, MH",335
337,67,ANGGOTA,"Medo Patria, S.TP",335
338,67,ANGGOTA,"Riswandy, S.Pd",335
339,67,ANGGOTA,"Lili Suarni, SH, MH",335
340,68,KETUA,"Tufiqurrahman, S.Ag, M.Si",0
341,68,ANGGOTA,"Lindo Karsyah, SS",340
342,68,ANGGOTA,"Atika Triana, S.Pt",340
343,68,ANGGOTA,"Didi Cahyadi Ningrat, SH",340
344,68,ANGGOTA,"Ade Yulanda, SH",340
345,69,KETUA,"Elwiza, S.Sos",0
346,69,ANGGOTA,"Ir. Gadis.M, M.Si",345
347,69,ANGGOTA,"Roni Tri Noveta, ST",345
348,69,ANGGOTA,"Jons Manedi, S.Pd",345
349,69,ANGGOTA,"Yuli Haryadi, SE",345
350,70,KETUA,"Robert Cenedy, SP",0
351,70,ANGGOTA,"Isyuliardi Ma`as, SE, MM",350
352,70,ANGGOTA,"Nila Puspita, A.Md",350
353,70,ANGGOTA,"Mulyadi, AMI",350
354,70,ANGGOTA,Hasriyal,350
355,71,KETUA,"Arwin, S.Pd.I",0
356,71,ANGGOTA,"Alni, SH, M.Kn",355
357,71,ANGGOTA,"Fitriyenti, S.P",355
358,71,ANGGOTA,"Harmesyoni, S.Pd",355
359,71,ANGGOTA,"Fahrul Rozi, S.Pd.I",355
360,72,KETUA,"Lemmasrizal, S.Ag",0
361,72,ANGGOTA,"Tanti Endang Lestari, S.IP",360
362,72,ANGGOTA,Drs. Yasrul,360
363,72,ANGGOTA,"Benny Aziz, SE",360
364,72,ANGGOTA,"Heldo Aura, S.Si",360
365,73,KETUA,"Jafri Edi Putra, M.Si",0
366,73,ANGGOTA,"Aprizona, S.Pd",365
367,73,ANGGOTA,"Okta Novisyah, S.Sos.I",365
368,73,ANGGOTA,"Nila Indriyani, S.Psi",365
369,73,ANGGOTA,M. Khair Mukhtar,365
370,74,KETUA,"Boedi Satria, SE",0
371,74,ANGGOTA,Alfiandri Zaharmi,370
372,74,ANGGOTA,Indra Jaya,370
373,74,ANGGOTA,"Arnaldi Putra, ST, M.Si",370
374,74,ANGGOTA,"Aisyah, SE",370
375,75,KETUA,"Hetta Manbayu, SH",0
376,75,ANGGOTA,"Yuzalmon, S.Ag, M.Si",375
377,75,ANGGOTA,"Haidi Mursal, SP",375
378,75,ANGGOTA,Muhamad Khadafi,375
379,75,ANGGOTA,"Ade Jumiarti Marlia, SIP",375
380,76,KETUA,"Afdhal, SE",0
381,76,ANGGOTA,"Akhaswita, SH",380
382,76,ANGGOTA,"Desy Fardila, S.Pd, M.Pd",380
383,76,ANGGOTA,"Zawil Husaini, S.Ag",380
384,76,ANGGOTA,"Indra Yosef Datmy, SH",380
385,77,KETUA,"Budi Santosa, SP, MP",0
386,77,ANGGOTA,"Ilham Eka Puta, SE",385
387,77,ANGGOTA,"Jonnedi, SE, MM",385
388,77,ANGGOTA,"Asraf Danil Handhika, S.Sos",385
389,77,ANGGOTA,Drs. Maqomam Mahmuda,385
390,78,KETUA,"H. M. Subhan, S.Ag",0
391,78,ANGGOTA,"Pahmi, S.Ag, M.Si",390
392,78,ANGGOTA,"M. Sanusi, S.Ag, MH",390
393,78,ANGGOTA,"Desi Arianto, S.Pt",390
394,78,ANGGOTA,"Nuraida Fitri Habi, S.Ag, M.Ag",390
395,79,KETUA,"Mohd Zamani, S.HI",0
