id,bagian_id,subbagian_id
1,1,1
2,1,2
3,1,3
4,2,4
5,2,5
6,2,6
7,3,7
8,3,8
9,3,9
10,4,10
11,4,11
12,4,81
13,5,12
14,5,13
15,5,14
16,6,15
17,6,16
18,6,17
19,7,18
20,7,19
21,7,20
22,8,21
23,8,22
24,8,81
25,9,23
26,9,24
27,9,25
28,10,26
29,10,27
30,10,28
31,11,29
32,11,30
33,11,31
34,12,32
35,12,33
36,12,81
37,13,34
38,13,35
39,13,81
40,14,36
41,14,37
42,14,38
43,15,39
44,15,40
45,15,41
46,16,42
47,16,43
48,16,44
49,17,45
50,17,46
51,17,47
52,18,48
53,18,49
54,18,50
55,19,51
56,19,52
57,19,81
58,19,53
59,20,54
60,20,55
61,20,56
62,21,57
63,21,58
64,21,59
65,22,60
66,22,61
67,22,62
68,23,63
69,23,64
70,23,81
71,24,65
72,24,66
73,24,67
74,25,68
75,25,69
76,25,81
77,26,70
78,26,71
79,26,72
80,27,73
81,27,74
82,27,75
83,28,76
84,28,77
85,28,78
86,,79
87,,80
