id,nama_bagian
1,PROGRAM DAN ANGGARAN
2,KERJASAMA ANTAR LEMBAGA
3,PENGOLAHAN DATA DAN INFORMASI
4,MONITORING DAN EVALUASI
5,PENGELOLAAN KEUANGAN
6,VERIFIKASI PELAKSANAAN ANGGARAN
7,AKUNTANSI DAN PELAPORAN KEUANGAN
8,PERBENDAHARAAN
9,PERUNDANG-UNDANGAN
10,ADVOKASI DAN PENYELESAIAN SENGKETA HUKUM
11,ADMINISTRASI HUKUM
12,DOKUMENTASI DAN INFORMASI HUKUM
13,TATA USAHA
14,PERSIDANGAN DAN PROTOKOL
15,RUMAH TANGGA
16,KEAMANAN
17,PERENCANAAN DAN PENGADAAN SDM
18,MUTASI DAN DISIPLIN
19,PENDIDIKAN DAN LATIHAN
20,TATALAKSANA
21,TEKNIS PEMILU
22,"PAW DAN PENGISIAN ANGGOTA DPR, DPD, DAN DPRD"
23,PUBLIKASI DAN SOSIALISASI INFORMASI PEMILU
24,BINA PARTISIPASI MASYARAKAT
25,PENGOLAHAN DATA DAN DOKUMENTASI KEBUTUHAN SARANA PEMILU
26,PENGADAAN SARANA DAN PRASARANA PEMILU
27,DISTRIBUSI SARANA DAN PRASARANA PEMILU
28,PEMELIHARAAN SARANA DAN PRASARANA PEMILU SERTA INVENTARISASI
