id,nama_subbagian
1,PROGRAM DAN ANGGARAN WILAYAH 1
2,PROGRAM DAN ANGGARAN WILAYAH 2
3,PROGRAM DAN ANGGARAN WILAYAH 3
4,KERJASAMA ANTAR LEMBAGA
5,"LITBANG, ORGANISASI, DAN SISTEM PEMILU"
6,PENYUSUNAN DESIGN DAN STANDAR KEBUTUHAN PEMILU
7,PEMUTAKHIRAN DATA DAN INFORMASI
8,PENGEMBANGAN TEKNOLOGI INFORMASI DAN PROGRAM APLIKASI
9,PENGEMBANGAN JARINGAN KOMUNIKASI DATA
10,MONITORING DAN SUPERVISI
11,EVALUASI DAN DOKUMENTASI
12,PENGELOLAAN KEUANGAN WILAYAH 1
13,PENGELOLAAN KEUANGAN WILAYAH 2
14,PENGELOLAAN KEUANGAN WILAYAH 3
15,VERIFIKASI PELAKSANAAN ANGARAN WILAYAH 1
16,VERIFIKASI PELAKSANAAN ANGARAN WILAYAH 2
17,VERIFIKASI PELAKSANAAN ANGARAN WILAYAH 3
18,AKUNTANSI DAN PELAPORAN  KEUANGAN WILAYAH 1
19,AKUNTANSI DAN PELAPORAN  KEUANGAN WILAYAH 2
20,AKUNTANSI DAN PELAPORAN  KEUANGAN WILAYAH 3
21,PERBENDAHARAAN GAJI
22,PERBENDAHARAAN BARANG DAN JASA
23,KAJIAN NASKAH PENGATURAN PEMILU
24,PENYUSUNAN PERATURAN DAN KEBUTUHAN KPU
25,PENYULUHAN PERATURAN PERUNDANG-UNDANGAN
26,ADVOKASI HUKUM
27,PENYELESAIAN SENGKETA HUKUM
28,LEGALISASI PRODUK HUKUM
29,VERIFIKASI PARTAI POLITIK PESERTA PEMILU
30,VERIFIKASI PERSEORANGAN PESERTA PEMILU
31,ADMINISTRASI KEUANGAN DAN DANA KAMPANYE PESERTA PEMILU
32,DOKUMENTASI PERATURAN PERUNDANGAN-UNDANGAN
33,INFROMASI PERATURAN PERUNDANG-UNDANGAN
34,KEARSIPAN DAN TATA PERSURATAN
35,TATA USAHA PIMPINAN
36,PROTOKOL
37,DOKUMENTASI PERSIDANGAN
38,PERPUSTAKAAN DAN MEDIA CENTER
39,INVENTARIS
40,ADMINISTRASI PERJALANAN DINAS
41,URUSAN DALAM DAN TELEKOMUNIKASI
42,PENGAMANAN LINGKUNGAN KANTOR DAN RUMAH DINAS
43,PENGAMANAN PEJABAT DAN PERSONAL
44,KEAMANAN DALAM
45,ANALISIS KEBUTUHAN SDM DAN KESRA
46,PENGADAAN DAN PENEMPATAN SDM
47,PENGOLAHAN DATA DAN INFROMASI SDM
48,MUTASI DAN DISIPLIN WILAYAH 1
49,MUTASI DAN DISIPLIN WILAYAH 2
50,MUTASI DAN DISIPLIN WILAYAH 3
51,DIKLAT TEKNIS
52,DIKLAT JABATAN
53,FUNGSIONAL UMUM
54,EVALUASI DAN PELAPORAN
55,PENYUSUNAN URAIAN TUGAS STAF PELAKSANA
56,PENGEMBANGAN KARIER
57,PEMETAAN DAERAH PEMILIHAN DAN ALOKASI KURSI
58,PENCALONAN DAN PENETAPAN CALON TERPILIH
59,PEMUNGUTAN PERHITUNGAN SUARA DAN PENETAPAN HASIL PEMILU
60,"PAW DAN PENGISIAN ANGGOTA DPR, DPD, DAN DPRD WILAYAH 1"
61,"PAW DAN PENGISIAN ANGGOTA DPR, DPD, DAN DPRD WILAYAH 2"
62,"PAW DAN PENGISIAN ANGGOTA DPR, DPD, DAN DPRD WILAYAH 3"
63,PEMBERITAAN DAN PENERBITAN INFORMASI PEMILU
64,SOSIALISASI DAN KAMPANYE
65,BINA PARTISIPASI MASYARAKAT WILAYAH 1
66,BINA PARTISIPASI MASYARAKAT WILAYAH 2
67,BINA PARTISIPASI MASYARAKAT WILAYAH 3
68,"PENYUSUNAN, PENGELOLAAN DATA DAN DOKUMENTASI KEBUTUHAN SARANA PEMILU"
69,ALOKASI DAN PELAPORAN
70,STANDAR BARANG ATAU JASA
71,ADMINISTRASI PENGADAAN
72,DOKUMENTASI PENGADAAN
73,DISTRIBUSI ANGKUTAN REGULER
74,DISTRIBUSI ANGKUTAN NON REGULER
75,DOKUMENTASI DISTRIBUSI
76,PENERIMAAN SARANA PEMILU
77,PENYIMPANAN DAN PEMELIHARAAN SARANA PEMILU SERTA INVENTARISASI
78,PENYALURAN SARANA PEMILU
79,TATA USAHA INSPEKTOR
80,AUDITOR
81,TATA USAHA BIRO
