id,recapitulation_id,name,value
1,1,DPT,50110
2,2,DPT,58286
3,3,DPT,70523
4,4,DPT,132565
5,5,DPT,86370
6,6,DPT,162235
7,7,DPT,51415
8,8,DPT,111523
9,9,DPT,76564
10,10,DPT,171251
11,11,DPT,76964
12,12,DPT,67599
13,13,DPT,84656
14,14,DPT,66719
15,15,DPT,88553
16,16,DPT,140344
17,17,DPT,91790
18,18,DPT,34441
19,19,DPT,33516
20,20,DPT,45431
21,21,DPT,44470
22,22,DPT,33047
23,23,DPT,31958
24,24,DPT,41837
25,25,DPT,34964
26,26,DPT,60607
27,27,DPT,74942
28,28,DPT,27602
29,29,DPT,25414
30,30,DPT,28579
31,31,DPT,38623
32,1,TPS LAIN/ TAMBAHAN,33
33,2,TPS LAIN/ TAMBAHAN,41
34,3,TPS LAIN/ TAMBAHAN,38
35,4,TPS LAIN/ TAMBAHAN,96
36,5,TPS LAIN/ TAMBAHAN,382
37,6,TPS LAIN/ TAMBAHAN,58
38,7,TPS LAIN/ TAMBAHAN,116
39,8,TPS LAIN/ TAMBAHAN,231
40,9,TPS LAIN/ TAMBAHAN,145
41,10,TPS LAIN/ TAMBAHAN,71
42,11,TPS LAIN/ TAMBAHAN,58
43,12,TPS LAIN/ TAMBAHAN,32
44,13,TPS LAIN/ TAMBAHAN,9
45,14,TPS LAIN/ TAMBAHAN,16
46,15,TPS LAIN/ TAMBAHAN,2
47,16,TPS LAIN/ TAMBAHAN,39
48,17,TPS LAIN/ TAMBAHAN,246
49,18,TPS LAIN/ TAMBAHAN,29
50,19,TPS LAIN/ TAMBAHAN,4
51,20,TPS LAIN/ TAMBAHAN,15
52,21,TPS LAIN/ TAMBAHAN,15
53,22,TPS LAIN/ TAMBAHAN,44
54,23,TPS LAIN/ TAMBAHAN,17
55,24,TPS LAIN/ TAMBAHAN,105
56,25,TPS LAIN/ TAMBAHAN,18
57,26,TPS LAIN/ TAMBAHAN,102
58,27,TPS LAIN/ TAMBAHAN,329
59,28,TPS LAIN/ TAMBAHAN,18
60,29,TPS LAIN/ TAMBAHAN,1
61,30,TPS LAIN/ TAMBAHAN,11
62,31,TPS LAIN/ TAMBAHAN,44
63,32,DPT,49557
64,33,DPT,54604
65,34,DPT,70361
66,35,DPT,116814
67,36,DPT,77093
68,37,DPT,144109
69,38,DPT,45077
