id,subdistrict_id,village_id, jml_tps , jml_laki_laki , jml_perempuan , jml_laki_laki_perempuan 
1,1,1,12,2795,3156,5951
2,1,2,37,9273,9817,19090
3,1,3,34,9032,9639,18671
4,1,4,11,3113,3096,6209
5,2,5,17,4546,4678,9224
6,2,6,22,5441,5784,11225
7,2,7,16,4181,4349,8530
8,2,8,30,7313,7675,14988
9,2,9,22,5581,5794,11375
10,3,10,31,7396,7700,15096
11,3,11,18,4454,4750,9204
12,3,12,22,5395,5609,11004
13,3,13,24,5453,5746,11199
14,3,14,18,4417,4595,9012
15,3,15,28,6888,7054,13942
16,4,16,57,13914,14868,28782
17,4,17,30,7181,7588,14769
18,4,18,17,4132,4238,8370
19,4,19,60,15094,16114,31208
20,4,20,23,5418,6019,11437
21,4,21,39,8494,9663,18157
22,5,22,26,7219,7339,14558
23,5,23,25,6486,6944,13430
24,5,24,35,9559,9954,19513
25,5,25,23,6055,6206,12261
26,5,26,40,10909,11413,22322
27,6,27,52,13881,14933,28814
28,6,28,30,7323,7622,14945
29,6,29,55,13913,14440,28353
30,6,30,64,16014,16521,32535
31,6,31,34,8489,9140,17629
32,6,32,50,12961,13703,26664
33,7,33,17,4317,4358,8675
34,7,34,13,3239,3431,6670
35,7,35,24,5732,6013,11745
36,7,36,11,3014,3299,6313
37,7,37,22,5993,6279,12272
38,8,38,21,5267,5643,10910
39,8,39,61,15702,16744,32446
40,8,40,29,7018,7765,14783
41,8,41,36,9072,9635,18707
42,8,42,23,5745,6270,12015
43,8,43,21,5238,5679,10917
44,9,44,19,5042,5197,10239
45,9,45,10,2463,2566,5029
46,9,46,23,5881,6104,11985
47,9,47,23,5613,5962,11575
48,9,48,20,4763,5075,9838
49,9,49,26,6822,7192,14014
50,9,50,23,6168,6331,12499
51,10,51,28,6737,7105,13842
52,10,52,48,11805,12483,24288
53,10,53,39,9744,10102,19846
54,10,54,56,13370,13961,27331
55,10,55,25,5833,6223,12056
56,10,56,32,7442,8070,15512
57,10,57,53,13276,13417,26693
58,10,58,26,6608,6850,13458
59,11,59,31,7717,8287,16004
60,11,60,23,5576,5825,11401
61,11,61,24,6759,6928,13687
62,11,62,31,7053,7314,14367
63,11,63,28,7213,7395,14608
64,12,64,17,3842,4105,7947
65,12,65,15,3573,3732,7305
66,12,66,25,5938,6232,12170
67,12,67,21,5494,5590,11084
68,12,68,40,8700,8994,17694
69,13,69,10,2838,3053,5891
70,13,70,20,5047,5472,10519
71,13,71,41,10407,10533,20940
72,13,72,36,8608,9001,17609
73,13,73,37,8747,9472,18219
74,14,74,13,3309,3459,6768
75,14,75,19,4809,4947,9756
76,14,76,13,3099,3287,6386
77,14,77,50,11760,12878,24638
78,14,78,12,3071,3124,6195
79,14,79,15,3524,3697,7221
80,15,80,21,5534,5925,11459
81,15,81,26,6739,7085,13824
82,15,82,23,5542,6053,11595
83,15,83,34,7677,8082,15759
84,15,84,58,14672,15269,29941
85,16,85,28,7199,7543,14742
86,16,86,42,11005,11166,22171
87,16,87,88,21858,22306,44164
88,16,88,47,12229,13192,25421
89,16,89,43,11511,11594,23105
90,17,90,65,16333,16546,32879
91,17,91,73,18817,18800,37617
92,17,92,37,9516,9974,19490
93,17,93,17,4638,4685,9323
94,18,94,11,2556,2894,5450
95,18,95,10,2809,2781,5590
96,18,96,10,2684,2631,5315
97,18,97,20,5218,5544,10762
98,18,98,14,3618,3728,7346
99,18,99,6,1603,1614,3217
100,19,100,26,7093,7394,14487
101,19,101,40,10440,10789,21229
102,19,102,5,1322,1344,2666
103,19,103,3,829,796,1625
104,20,104,23,6336,6482,12818
105,20,105,14,3620,4033,7653
106,20,106,35,9747,10107,19854
107,20,107,16,4171,4352,8523
108,21,108,19,5032,5176,10208
109,21,109,22,5079,5460,10539
110,21,110,19,4554,4976,9530
111,21,111,22,5721,6102,11823
112,22,112,20,4587,5093,9680
113,22,113,13,2876,3139,6015
114,22,114,11,2770,2816,5586
115,22,115,14,3274,3506,6780
116,23,116,13,3283,3419,6702
117,23,117,20,5044,5349,10393
118,23,118,13,3590,3696,7286
119,23,119,18,4600,4682,9282
120,24,120,24,6227,6646,12873
121,24,121,20,5495,5639,11134
122,24,122,14,3733,4010,7743
123,24,123,17,4400,4547,8947
124,25,124,24,6523,6813,13336
125,25,125,18,4522,4681,9203
126,25,126,18,4349,4660,9009
127,25,127,10,2742,2873,5615
128,26,128,22,6100,6550,12650
129,26,129,24,6637,6999,13636
130,26,130,8,2294,2383,4677
131,26,131,19,5393,5810,11203
132,26,132,23,5836,6131,11967
133,26,133,18,4640,4795,9435
134,27,134,14,3552,3489,7041
135,27,135,18,4057,4372,8429
136,27,136,12,2711,2878,5589
137,27,137,10,2060,2067,4127
138,27,138,30,7275,7667,14942
139,27,139,52,13371,13633,27004
140,28,140,39,10083,9696,19779
141,28,141,11,2450,2391,4841
142,28,142,9,2434,2385,4819
143,29,143,7,1855,1852,3707
144,29,144,8,1993,2074,4067
145,29,145,24,6449,6643,13092
146,29,146,13,3150,3642,6792
147,30,147,12,3030,3103,6133
148,30,148,27,7206,7428,14634
149,30,149,13,3534,3520,7054
150,30,150,10,2724,2716,5440
151,31,151,25,6432,6817,13249
152,31,152,10,2833,2797,5630
153,31,153,6,1702,1740,3442
154,31,154,36,9206,9487,18693
