id,kecamatan_id,kelurahan
1,1,KARANG PILANG
2,1,KEBRAON
3,1,KEDURUS
4,1,WARU GUNUNG
5,2,SIDOSERMO
6,2,BENDUL MERISI
7,2,MARGOREJO
8,2,JEMUR WONOSARI
9,2,SIWALANKERTO
10,3,KALI RUNGKUT
11,3,RUNGKUT KIDUL
12,3,KEDUNG BARUK
13,3,PENJARINGAN SARI
14,3,WONOREJO
15,3,MEDOKAN AYU
16,4,WONOKROMO
17,4,JAGIR
18,4,NGAGEL
19,4,NGAGEL REJO
20,4,DARMO
21,4,SAWUNGGALING
22,5,TEGALSARI
23,5,DR. SOETOMO
24,5,KEDUNGDORO
25,5,KEPUTRAN
26,5,WONOREJO
27,6,PETEMON
28,6,SAWAHAN
29,6,BANYU URIP
30,6,PUTAT JAYA
31,6,KUPANG KRAJAN
32,6,PAKIS
33,7,EMBONG KALIASIN
34,7,GENTENG
35,7,KAPASARI
36,7,KETABANG
37,7,PENELEH
38,8,GUBENG
39,8,MOJO
40,8,AIRLANGGA
41,8,KERTAJAYA
42,8,BARATAJAYA
43,8,PUCANGSEWU
44,9,KEPUTIH
45,9,GEBANG PUTIH
46,9,KLAMPIS NGASEM
47,9,MENUR PUMPUNGAN
48,9,NGINDEN JANGKUNGAN
49,9,SEMOLOWARU
50,9,MEDOKAN SEMAMPIR
51,10,TAMBAKSARI
52,10,PLOSO
53,10,GADING
54,10,PACAR KEMBANG
55,10,RANGKAH
56,10,PACAR KELING
57,10,KAPASMADYA BARU
58,10,DUKUH SETRO
59,11,SIMOKERTO
60,11,KAPASAN
61,11,SIDODADI
62,11,SIMOLAWANG
63,11,TAMBAKREJO
64,12,BONGKARAN
65,12,NYAMPLUNGAN
66,12,KREMBANGAN UTARA
67,12,PERAK TIMUR
68,12,PERAK UTARA
69,13,ALUN-ALUN CONTONG
70,13,BUBUTAN
71,13,GUNDIH
72,13,JEPARA
73,13,TEMBOK DUKUH
74,14,TANDES
75,14,KARANG POH
76,14,BALONGSARI
77,14,MANUKAN KULON
78,14,MANUKAN WETAN
79,14,BANJAR SUGIHAN
80,15,KREMBANGAN SELATAN
81,15,KEMAYORAN
82,15,PERAK BARAT
83,15,DUPAK
84,15,MOROKREMBANGAN
85,16,AMPEL
86,16,PEGIRIAN
87,16,WONOKUSUMO
88,16,UJUNG
89,16,SIDOTOPO
90,17,TANAH KALIKEDINDING
91,17,SIDOTOPO WETAN
92,17,BULAK BANTENG
93,17,TAMBAK WEDI
94,18,BANGKINGAN
95,18,JERUK
96,18,LAKARSANTRI
97,18,LIDAH KULON
98,18,LIDAH WETAN
99,18,SUMUR WELUT
100,19,KANDANGAN
101,19,SEMEMI
102,19,TAMBAK OSOWILANGUN
103,19,ROMO KALISARI
104,20,WIYUNG
105,20,JAJAR TUNGGAL
106,20,BABATAN
107,20,BALAS KLUMPRIK
108,21,DUKUH PAKIS
109,21,DUKUH KUPANG
110,21,GUNUNG SARI
111,21,PRADAH KALI KENDAL
112,22,KETINTANG
113,22,MENANGGAL
114,22,DUKUH MENANGGAL
115,22,GAYUNGAN
116,23,JAMBANGAN
117,23,KARAH
118,23,KEBONSARI
119,23,PAGESANGAN
120,24,KUTISARI
121,24,KENDANGSARI
122,24,TENGGILIS MEJOYO
123,24,PANJANG JIWO
124,25,GUNUNG ANYAR
125,25,RUNGKUT TENGAH
126,25,RUNGKUT MENANGGAL
127,25,GUNUNG ANYAR TAMBAK
128,26,MULYOREJO
129,26,MANYAR SABRANGAN
130,26,KEJAWAN PUTIH TAMBAK
131,26,KALISARI
132,26,DUKUH SUTOREJO
133,26,KALIJUDAN
134,27,SUKOMANUNGGAL
135,27,TANJUNGSARI
136,27,SONOKWIJENAN
137,27,PUTAT GEDE
138,27,SIMOMULYO
139,27,SIMOMULYO BARU
140,28,ASEMROWO
141,28,GENTING KALIANAK
142,28,TAMBAK SARIOSO
143,29,KEDUNG COWEK
144,29,KENJERAN
145,29,BULAK
146,29,SUKOLILO BARU
147,30,BENOWO
148,30,BABAT JERAWAT
149,30,SUMBERJO
150,30,PAKAL
151,31,SAMBIKEREP
152,31,MADE
153,31,BRINGIN
154,31,LONTAR
