id,alamat,kelurahan_id,no_tps
1,,1,TPS 1
2,Balai RW.01 Asemrowo,1,TPS 2
3,GOR / Lorong POS RT.09,1,TPS 3
4,Lapangan Asemrowo 1,1,TPS 4
5,Asemrowo III,1,TPS 5
6,Asemrowo VI No. 5,1,TPS 6
7,Asem V No. 2A,1,TPS 7
8,Asem II,1,TPS 8
9,Jl. Masjid No. 10,1,TPS 9
10,Jl. Tambak VI Asemrowo Kali,1,TPS 10
11,Asem IV B RT.13-RW.02,1,TPS 11
12,Jl. Asemrowo Baru Depan POS RT.01,1,TPS 12
13,Jl. Asem Mulya V No. 14,1,TPS 13
14,Jl. Asem Mulya RT.01,1,TPS 14
15,Asem Mulya XI No. 54,1,TPS 15
16,Lapangan RT. 01,1,TPS 16
17,Tambak Mayor III No. 5,1,TPS 17
18,Tambak Mayor VIII,1,TPS 18
19,Tambak Mayor Utara - Depan Rumah RT.07,1,TPS 19
20,Tambak Mayor Utara RT.08 No. 24,1,TPS 20
21,Tambak Mayor 6C,1,TPS 21
22,Tambak Mayor Baru V,1,TPS 22
23,Tambak Dalam Baru II No. 20,1,TPS 23
24,Tambak Dalam Baru VI Depan Mushollah,1,TPS 24
25,Tambak Dalam Baru I B No. 1,1,TPS 25
26,Tambak Dalam Baru III,1,TPS 26
27,Tambak Pring Timur I Depan Gudang,1,TPS 27
28,Tambak Pring Timur V - Perempatan,1,TPS 28
29,Jl. Raya Tambak Pring Timur Depan Rumah Bpk. Slamet,1,TPS 29
30,Tambak Pring Timur II No. 33 A - Depan Masjid,1,TPS 30
31,Tambak Mayor Madya II No. 10,1,TPS 31
32,Tambak Mayor Baru II No. 72,1,TPS 32
33,Tambak Mayor Barat II A Gg. Buntu,1,TPS 33
34,,1,TPS 34
35,,1,TPS 35
36,Tambak Mayor Selatan II No. 4,1,TPS 36
37,Tambak Mayor Barat No. 4 - Balai RT.04,1,TPS 37
38,Tambak Mayor Utara No. 54,1,TPS 38
39,Tambak Pring Barat No. 16 - di bawah POS Kamling,1,TPS 39
40,,2,TPS 1
41,Kalianak Barat 36 Belakang - Balai RW.01,2,TPS 2
42,Kalianak Barat 51 - Pergudangan 51,2,TPS 3
43,Kalianak Barat 55 - Pergudangan 55,2,TPS 4
44,Genting Tambak Dalam III RT.01-RW.02,2,TPS 5
45,Genting Tambak Dalam No. 13 RT.02-RW.02,2,TPS 6
46,Genting Tambak Dalam RT.03-RW.02,2,TPS 7
47,Genting Tambak Dalam Blok A RT.05-RW.02,2,TPS 8
48,Genting I No. 44,2,TPS 9
49,Genting I - Depan POS RT.01-RW.03,2,TPS 10
50,Genting IV No. 44 - Halaman SD Hanura Bina Putra,2,TPS 11
51,,3,TPS 1
52,Greges Barat Gang I ,3,TPS 2
53,Halaman MINU - Greges Barat Gang V,3,TPS 3
54,Perum. Graha Mandiri - Greges Barat,3,TPS 4
55,Balai RW - Jl. Raya Greges Barat,3,TPS 5
56,Halaman TK Tunas Jaya - Greges Timur,3,TPS 6
57,Halaman SDN Greges - Tambak Pokak,3,TPS 7
58,Jl. Kelurahan Tambak Sarioso,3,TPS 8
59,Halaman MI Mambaul Ulum - Tambak Langon,3,TPS 9
60, Kandangan Gg I Surabaya,4,TPS 1
61, Kandangan Gg III Surabaya,4,TPS 2
62, Kandangan Gunung Surabaya,4,TPS 3
63, Kandangan Jaya 2 (Balai RT 05) Surabaya,4,TPS 4
64, Kandangan Rejo Gg Lebar (Balai RT 06),4,TPS 5
65, Kandangan Mulya Surabaya,4,TPS 6
66, Raya Kandangan Gunung Surabaya,4,TPS 7
67, Kandangan Gunung Tangsi Surabaya,4,TPS 8
68, Kandangan Gunung Dharma Surabaya,4,TPS 9
69, Tengger Raya III Surabaya,4,TPS 10
70, Tengger Raya ( Balai RW 02 ),4,TPS 11
71, Tengger Raya ( Balai RT 04 Sebelah Telaga),4,TPS 12
72, Tengger Kandangan ( SDN Kandangan II ),4,TPS 13
73, Tengger Kandangan Timur ( Balai RW 03 ),4,TPS 14
74, Wisma Tengger Pipa ( Lap. Semen Gresik ),4,TPS 15
75, Wisma Tengger III ( Balai RW 04 ),4,TPS 16
76, Tengger kandangan XXI ( Balai RW 05 ),4,TPS 17
77, Wisma Tengger XVI ( Balai RT 02 RW 06 ),4,TPS 18
78, Raya Wisma tengger ( Balai RT 06 ),4,TPS 19
79, Raya Jugrug Rejosari ( Balai RW 07 ),4,TPS 20
80, Klakahrejo Gg I,4,TPS 21
81, Klakahrejo Gg II,4,TPS 22
82, Klakahrejo Gg IV ( GOR FUTSAL Barkla ),4,TPS 23
83, Klakahrejo IV Gg Lebar ( POS RT 04 ),4,TPS 24
84, Klakahrejo Lor Gg Arwana,4,TPS 25
85, Klakahrejo Lor Gg IV,4,TPS 26
86,Jln Romokalisari RT 01 RW I,5,TPS 1
87,Jln Romokalisari RW II Depan TK Sultan Agung,5,TPS 2
88,Jln Dkh Gendong RW III Depan Sekolahan TK,5,TPS 3
89,Jl.BANDAREJO I  (RT.01/RW01),6,TPS 1
90,JL. SEMEMIJAYA SELATAN 2A,6,TPS 2
91,SEMEMIJAYA VIII 9RT.01/RW.01),6,TPS 3
92,SEMEMIJAYA IIA LAP. (RT.3/RW.1,6,TPS 4
93,SEMEMIJAY V/29,6,TPS 5
94,SEMEMIJAYA V UTARA REL,6,TPS 6
95,SEMEMIJAYA VI LAP.(RT.06/RW.1),6,TPS 7
96,SEMEMIJAYA IX B (TPA.DARUL NA'IM),6,TPS 8
97,BALAI RT.05/RW.01,6,TPS 9
98,SEMEMIJAYA VII C ,6,TPS 10
99,SEMEMIJAYA SEL. IC,6,TPS 11
100,JL. UKA V (RW.2),6,TPS 12
101,JL. UKA X (RW.2),6,TPS 13
102,BALAI RT.05/RW.02 UKA XIII A,6,TPS 14
103,GEDUNG PANCA BAKTI RW.02,6,TPS 15
104,UKA II RT.07/RW.2,6,TPS 16
105,UKA XX RT.011/RW02,6,TPS 17
106,BALAI RT.01/RW.03 KENDUNG,6,TPS 18
107,KENDUNG RT.02/RW.03,6,TPS 19
108,KENDUNG RT.03/RW.03,6,TPS 20
109,KENDUNG RT.06/RW.03,6,TPS 21
110,LAPANGAN KENDUNG RW.03,6,TPS 22
111,BALAI RW 04,6,TPS 23
112,TPQ. H.A. ALI  RW.04,6,TPS 24
113,SEMEMI  RT.03/RW.04,6,TPS 25
114,BANDAREJO  RT.04/RW.05,6,TPS 26
115,BANDAREJI III RT.05/RW.05,6,TPS 27
116,BANDAREJO BALAI RT07/RW.05,6,TPS 28
117,BANDAREJO BALAI RW.05,6,TPS 29
118,KENDUNGJAYA VIII,6,TPS 30
119,KENDUNGJAYA I RT.01/RW.06,6,TPS 31
120,BALAI RT.03/RW.06,6,TPS 32
121,GRIYA CITRA ASRI. LAP.RT.01/RW.07,6,TPS 33
122,BLAI RW O7 G.C.A,6,TPS 34
123,BALAI RT. 06/RW.07,6,TPS 35
124,KENDUNG REJO I/1 9RT.01/RW.8,6,TPS 36
125,KENDUNGREJO BALAI RT.05/RW.08,6,TPS 37
126,,6,TPS 38
127,KENDUNGREJO MASJID BAITUL HUDA,6,TPS 39
128,SEMEMI BARI I,6,TPS 40
129,Tambak Oso Wilangon RT 01 RW I,7,TPS 1
130,Tambak Oso Wilangon RT 03 RW I,7,TPS 2
131,Tambak Oso Wilangon RT 02 RW II,7,TPS 3
132,Tambak Oso Wilangon RT 03 RW III,7,TPS 4
133,Tambak Oso Wil Timur RT 01 RW IV,7,TPS 5
134,Jl. Sulung tengah,8,TPS 1
135,Jl. Sulung Sekolahan,8,TPS 2
136,Jl. Tambak Bayan Tengah,8,TPS 3
137,Jl. Kepatihan gg. 3,8,TPS 4
138,Jl. Carikan gg. 4,8,TPS 5
139,Jl. Kawatan gg. 6,8,TPS 6
140,Jl. Alun-alun Contong no. 5,8,TPS 7
141,Jl. Praban Tengah,8,TPS 8
142,Jl. Praban wetan gg. 3,8,TPS 9
143,Jl. Genting Kali,8,TPS 10
144,Jl. Kranggan IV,9,TPS 1
145,Jl. Kranggan V,9,TPS 2
146,Jl. Kranggan VII,9,TPS 3
147,Jl. Tembok Gede III RT.03,9,TPS 4
148,Jl. Tembok Gede III RT.04,9,TPS 5
149,Jl. Tembok Lor I (SD Bubutan),9,TPS 6
150,Jl. Tembok Lor IV (Balai RW),9,TPS 7
151,Jl. Tembok Lor III (Rmh Ketua RT.07),9,TPS 8
152,Jl. Tembok Lor III Buntu (Lapangan),9,TPS 9
153,Jl. Gambuhan (dpn Gereja),9,TPS 10
154,Jl. Pengenal,9,TPS 11
155,Jl. Pengenal,9,TPS 12
156,Jl. Maspati Gg.I,9,TPS 13
157,Jl. Maspati Gg.IV,9,TPS 14
158,Jl. Maspati Gg. V,9,TPS 15
159,Jl. Maspati Gg.VI,9,TPS 16
160,Jl. Tembaan Gg.II,9,TPS 17
161,Jl. Semarang 128 (lapangan),9,TPS 18
162,Jl. Semarang 128 (lapangan),9,TPS 19
163,Aspol Jl. Koblen,9,TPS 20
164,JL. GUNDIH I,10,TPS 1
165,JL. GUNDIH LAPANGAN RT 02,10,TPS 2
166,JL. GUNDIH 2/7 LAPANGAN (TIMUR KALI),10,TPS 3
167,JL. GUNDIH 2 BARAT NO.60,10,TPS 4
168,JL. GUNDIH IV BARAT SUNGAI,10,TPS 5
169,JL. GUNDIH 3 TIMUR NO.25,10,TPS 6
170,JL. GUNDIH IV TIMUR NO.22,10,TPS 7
171,JL. MAGORUKUN REL NO. 11,10,TPS 8
172,JL. MARGORUKUN LEBAR NO. 63,10,TPS 9
173,JL. MARGORUKUN TENGAH NO. 10,10,TPS 10
174,JL. MARGORUKUN I/9,10,TPS 11
175,JJL. MARGORUKUN I/19,10,TPS 12
176,JL. LAMONGAN 50,10,TPS 13
177,JL.LAMONGAN BALAI RW,10,TPS 14
178,JL. DUPAK RUKO SEBELAH RS IBI,10,TPS 15
179,JL. DUPAK,10,TPS 16
180,LAPANGAN (RT.01),10,TPS 17
181,JL. BABADAN I (RT.03),10,TPS 18
182,JL. BABADAN I/48 (RT.06),10,TPS 19
183,BALAI RW.V (RT.07),10,TPS 20
184,JL. BABADAN IV (RT.10),10,TPS 21
185,JL. BABADAN VIII (RT.13),10,TPS 22
186,JL. DEMAK TIMUR 2/24,10,TPS 23
187,JL. DEMAK TIMUR 4,10,TPS 24
188,JL. DEMAK TIMUR 6,10,TPS 25
189,JL DEMAK TIMUR VIII/3A,10,TPS 26
190,JL DEMAK TIMUR X/8,10,TPS 27
191,JL. MARGODADI BALAI RT 01,10,TPS 28
192,JL MARGODADI BALAI RT 2,10,TPS 29
193,JL. MARGODADI BALAI RT,10,TPS 30
194,JL. MARGODADI BALAI RT 07 /,10,TPS 31
195,JL. MARGODADI,10,TPS 32
196, JL. TEMBOK DUKUH 11/21,10,TPS 33
197,JL. TEMBOK DUKUH 9/8,10,TPS 34
198,JL. DEMAK TIMUR NO. 29,10,TPS 35
199,MARGORUKUN VII,10,TPS 36
200,MARGORUKUN IX,10,TPS 37
201,,10,TPS 38
202,MARGORUKUN XII,10,TPS 39
203,MARGORUKUN 3/18,10,TPS 40
204,MARGORUKUN 4 / 1,10,TPS 41
205,Jl. Jepara I,11,TPS 1
206,Jl. Jepara III (Balai RW),11,TPS 2
207,Jl. Jepara V / VI,11,TPS 3
208,Jl. Jepara VIII,11,TPS 4
209,Dupak Masigit 10,11,TPS 5
210,Dupak Masigit 9,11,TPS 6
211,Dupak Masigit 8,11,TPS 7
212,Dupak Masigit 6,11,TPS 8
213,Dupak Masigit 4,11,TPS 9
214,Dupak Masigit 3,11,TPS 10
215,Dupak Masigit 14 (RT.15&17),11,TPS 11
216,Tuban Raya,11,TPS 12
217,Tuban I,11,TPS 13
218,Purwodadi Raya,11,TPS 14
219,Purwodadi Utara,11,TPS 15
220,Balai RW IV,11,TPS 16
221,Demak / Purwodadi Tengah,11,TPS 17
222,Rembang Selatan,11,TPS 18
223,Dupak Baru 3,11,TPS 19
224,Dupak Baru 2 (balai RW),11,TPS 20
225,Taman Dupak baru,11,TPS 21
226,Jl. Jatiwangi,11,TPS 22
227,Dupak II,11,TPS 23
228,Dupak Tengah,11,TPS 24
229,Dupak IV /84,11,TPS 25
230,Dupak V,11,TPS 26
231,Dupak V/63,11,TPS 27
232,Jl. Dupak Jaya 1 / 2,11,TPS 28
233,Jl. Dupak Jaya 3 (Balai RW VII),11,TPS 29
234,Dupak Jaya 5,11,TPS 30
235,Dupak Timur (PAUD),11,TPS 31
236,Balai RW VIII,11,TPS 32
237,Dupak Timur (RT.09),11,TPS 33
238,Balai RT 10,11,TPS 34
239,Sekolah Wachid Hasyim,11,TPS 35
240,Dupak Magersari,11,TPS 36
241,Jl. Tembok Dukuh 80,12,TPS 1
242,Tembok Dukuh VI/5 (Balai RW I),12,TPS 2
243,Tembok Dukuh IV/24,12,TPS 3
244,Tembok Dukuh Butulan,12,TPS 4
245,Tembok Dukuh X/66,12,TPS 5
246,Asem Bagus II/30,12,TPS 6
247,Jl. Kalibutuh 219,12,TPS 7
248,Asem Bagus III/26 (Balai RW II),12,TPS 8
249,Asem Jajar VII,12,TPS 9
250,Asem Jajar VI (Balai RW III),12,TPS 10
251,Jl. Kalibutuh 257 (Pos Kamling RT 6),12,TPS 11
252,Asem Jajar VIII,12,TPS 12
253,Asem Jajar XI,12,TPS 13
254,Asem Jaya V,12,TPS 14
255,Asem Jaya Sekolahan,12,TPS 15
256,Asem Jaya VII,12,TPS 16
257,Asem Jaya I (Balai RW),12,TPS 17
258,Asem Jaya II (Lapangan),12,TPS 18
259,Asem Jaya IX,12,TPS 19
