id,kecamatan_id,kelurahan
1,1,ASEMROWO
2,2,ASEMROWO
3,3,ASEMROWO
4,4,Kandangan
5,4,Romokalisari
6,4,Sememi
7,4,TAMBAKOSO WILANGUN
8,5,ALUN-ALUN CONTONG
9,5,BUBUTAN
10,5,GUNDIH 
11,5,JEPARA
12,5,TEMBOK DUKUH
13,6,Sukolilo Baru
14,6,KEDUNG COWEK
15,6,Kenjeran
16,6,Bulak
17,7,DUKUH PAKIS
18,7,DUKUH KUPANG
19,7,GUNUNGSARI
20,7,PRADAH KALIKENDAL
21,8,Ketintang
22,8,Gayungan
23,8,Menanggal
24,8,Dukuh Menanggal
25,9,KETABANG
26,9,GENTENG
27,9,PENELEH
28,9,EMBONG KALIASIN
29,9,KAPASARI
30,10,AIRLANGGA
31,10,PUCANG SEWU
32,10,MOJO
33,10,KERTAJAYA
34,10,GUBENG
35,10,BARATA JAYA
36,11,Gununganyar
37,11,GUNUNGANYAR TAMBAK
38,11,Rungkut Tengah
39,11,RUNGKUT MENANGGAL
40,12,KEBONSARI
41,12,PAGESANGAN
42,12,JAMBANGAN
43,12,KARAH
44,13,WARUGUNUNG
45,13,Lapangan Gg Wilis RT:02 RW:03
46,13,KEBRAON
47,13,KEDURUS
48,14,TANAH KALI KEDINDING
49,14,SIDOTOPO WETAN
50,14,BULAK BANTENG
51,14,TAMBAK WEDI
52,15,KREMBANGAN SELATAN
53,15,Dupak
54,15,Morokrembangan
55,15,Kemayoran
56,15,Perak Barat
57,16,Bangkingan
58,16,Jeruk
59,16,Lakarsantri
60,16,Lidah Kulon
61,16,Lidah Wetan
62,16,Sumur Welut
63,17,MULYOREJO
64,17,KALIJUDAN
65,17,MANYAR SABRANGAN
66,17,KALISARI
67,17,KEJAWAN PUTIH TAMBAK
68,17,DUKUH SUTOREJO
69,18,Bongkaran
70,18,KREMBANGAN UTARA
71,18,Nyamplungan
72,18,KELURAHAN PERAK UTARA
73,19,BABAT JERAWAT
74,19,PAKAL
75,19,BENOWO
76,19,SUMBERREJO
77,20,MEDOKAN AYU
78,20,WONOREJO
79,20,PENJARINGANSARI
80,20,KEDUNG BARUK
81,21,Rungkut Kidul V / 18 (Balai RW V)
82,21,KALIRUNGKUT
83,22,BRINGIN
84,22,LONTAR
85,22,MADE
86,22,SAMBIKEREP
87,23,PETEMON
88,23,SAWAHAN
89,23,BANYU URIP
90,23,PUTAT JAYA
91,23,KUPANG KRAJAN
92,23,PAKIS
93,24,SIDOTOPO
94,24,WONOKUSUMO
95,24,UJUNG
96,24,PEGIRIAN
97,25,KAPASAN
98,25,SIDODADI
99,25,SIMOKERTO
100,25,SIMOLAWANG
101,25,TAMBAKREJO
102,26,Klampis Ngasem
103,26,Gebang Putih
104,26,Menur Pumpungan
105,26,keputih
106,26,nginden
107,26,Semolowaru
108,26,Medokan semampir
109,27,SUKOMANUNGGAL
110,27,SIMOMULYO BARU
111,27,SIMOMULYO
112,27,PUTAT GEDE
113,27,TANJUNGSARI
114,27,SONOKWIJENAN
115,28,TAMBAKSARI
116,28,PLOSO
117,28,RANGKAH
118,28,KAPAS MADYA BARU
119,28,DUKUH SETRO
120,28,GADING
121,28,PACAR KELING
122,28,PACAR KEMBANG
123,29,TANDES
124,29,KARANGPOH
125,29,BALONGSARI
126,29,MANUKAN WETAN
127,29,MANUKAN KULON
128,29,BANJARSUGIHAN
129,30,Kedungdoro
130,30,WONOREJO
131,30,KEPUTRAN
132,30,DR. SOETOMO
133,30,TEGALSARI
134,31,KUTISARI
135,31,PANJANGJIWO
136,31,TENGGILIS MEJOYO
137,31,KENDANGSARI
138,32,Babatan
139,32,Balas Klumprik
140,32,Jajar Tunggal
141,32,Wiyung
142,33,Bendul merisi
143,33,Jemur wonosari
144,33,Margorejo
145,33,Sidosermo
146,33,Siwalan kerto
147,34,WONOKROMO
148,34,NGAGELREJO
149,34,NGAGEL
150,34,JAGIR
151,34,DARMO
152,34,SAWUNGGALING 
