id,name,start,finish,parent_id,category
1,PERENCANAAN PROGRAM DAN ANGGARAN,18 Februari 2015,30 April 2015,0,PERSIAPAN
2,PENYUSUNAN PERATURAN PENYELENGGARAAN PEMILIHAN,23 Februari 2015,30 April 2015,0,PERSIAPAN
3,SOSIALISASI/ PENYULUHAN / BIMBINGAN TEKNIS,16 April 2015,8 Desember 2015,0,PERSIAPAN
4,"PEMBENTUKAN PPK, PPS DAN KPPS",,,0,PERSIAPAN
5,"PEMBENTUKAN PPK, PPS DAN KPPS : PEMBENTUKAN PPK DAN PPS",19 April 2009,18 Mei 2015,4,PERSIAPAN
6,"PEMBENTUKAN PPK, PPS DAN KPPS : PEMBENTUKAN KPPS",9  september 2015,8 November 2015,4,PERSIAPAN
7,PEMANTAUAN PEMILIH,,,0,PERSIAPAN
8,PEMANTAUAN PEMILIH : PENDAFTARAN PEMANTAU PEMILIH,1 Mei 2015,2 November 2015,7,PERSIAPAN
9,PENGOLAHAN DAFTAR PENDUDUK POTENSIAL PEMILIH PEMILIHAN (DP4),,,0,PERSIAPAN
10,PENGOLAHAN DAFTAR PENDUDUK POTENSIAL PEMILIH PEMILIHAN (DP4) : PENERIMA DP4,,,9,PERSIAPAN
11,PENGOLAHAN DAFTAR PENDUDUK POTENSIAL PEMILIH PEMILIHAN (DP4) : ANALISA DP4,,,9,PERSIAPAN
12,PENGOLAHAN DAFTAR PENDUDUK POTENSIAL PEMILIH PEMILIHAN (DP4) : SINKRONISASI DP4 DENGAN DAFTAR PEMILIH PEMILU TERAKHIR,,,9,PERSIAPAN
13,PENGOLAHAN DAFTAR PENDUDUK POTENSIAL PEMILIH PEMILIHAN (DP4) : PENYAMPAIAN HASIL ANALISIS DP4 DAN HASIL SINKRONISASI KEPADA KPU PROVINSI/KIP ACEH DAN KPU/KIP KABUPATEN/KOTA,,,9,PERSIAPAN
14,PENGOLAHAN DAFTAR PENDUDUK POTENSIAL PEMILIH PEMILIHAN (DP4) : PENGUMUMAN HASIL ANALISIS DP4,24 Juni 2015,24 Juni 2015,9,PERSIAPAN
15,PEMUTAKHIRAN DATA DAN DAFTAR PEMILIH,,,0,PERSIAPAN
16,PEMUTAKHIRAN DATA DAN DAFTAR PEMILIH : PENYUSUNAN DAFTAR PEMILIH OLEH KPU/KIP KABUPATEN / KOTA DAN PENYAMPAIAN KEPADA PPS,24 Juni 2015,14 Juli 2015,15,PERSIAPAN
17,PEMUTAKHIRAN DATA DAN DAFTAR PEMILIH : PEMUTAKHIRAN,15 Juli 2015,26 Agustus 2015,15,PERSIAPAN
18,PEMUTAKHIRAN : PENCOCOKAN DAN PENELITIAN,15 Juli 2015,19 Agustus 2015,17,PERSIAPAN
19,PEMUTAKHIRAN : PENYUSUNAN DAFTAR PEMILIH HASIL PEMUTAKHIRAN,20 Agustus 2015,26 Agustus 2015,17,PERSIAPAN
