id,id_partai,partai,id_dapil,nama_dapil,nama
1,1,PDIP,1102-00-0000,Aceh II,Tagore Abubakar
2,1,PDIP,1201-00-0000,Sumut I,Irmadi Lubis
3,1,PDIP,1201-00-0000,Sumut I,Sofyan Tan
4,1,PDIP,1203-00-0000,Sumut III,Junimart Girsang
5,1,PDIP,1302-00-0000,Sumbar II,Agus Susanto
6,1,PDIP,1601-00-0000,Sumsel I,Nazarudin Kiemas
7,1,PDIP,1602-00-0000,Sumsel II,Erwin M. Singajuru
8,1,PDIP,1801-00-0000,Lampung I,Isma Yatun
9,1,PDIP,1802-00-0000,Lampung II,Itet Tridjajati Sumarijanto
10,1,PDIP,1901-00-0000,Babel,Rudianto Tjen
11,1,PDIP,2101-00-0000,Kepri,Dwi Ria Latifa
12,1,PDIP,3103-00-0000,DKI III,Effendi MS Simbolon
13,1,PDIP,3103-00-0000,DKI III,Charles Honoris
14,1,PDIP,3204-00-0000,Jabar IV,Ribka Tjiptaning
15,1,PDIP,3205-00-0000,Jabar V,Indra P. Simatupang
16,1,PDIP,3205-00-0000,Jabar V,Sukur Nababan
17,1,PDIP,3207-00-0000,Jabar VII,Rieke Diah Pitaloka
18,1,PDIP,3207-00-0000,Jabar VII,Tono Bahtiar
19,1,PDIP,3208-00-0000,Jabar VIII,Yoseph Umarhadi
20,1,PDIP,3209-00-0000,Jabar IX,TB Hasanudin
21,1,PDIP,3302-00-0000,Jateng II,Daryatmo Mardiyanto
22,1,PDIP,3303-00-0000,Jateng III,Evita Nursanty
23,1,PDIP,3304-00-0000,Jateng IV,Agustina Wilujeng Pramestuti
24,1,PDIP,3305-00-0000,Jateng V,Puan Maharani
25,1,PDIP,3305-00-0000,Jateng V,Aria Bima
26,1,PDIP,3306-00-0000,Jateng VI,Nursyiwan Soedjono
27,1,PDIP,3306-00-0000,Jateng VI,Sudjadi
28,1,PDIP,3307-00-0000,Jateng VII,Utut Udianto
29,1,PDIP,3309-00-0000,Jateng IX,Muhammad Prakosa
30,1,PDIP,3401-00-0000,DIY,Mohammad Idham Samawai
31,1,PDIP,3401-00-0000,DIY,Esti Wijayanti
32,1,PDIP,3501-00-0000,Jatim I,Guruh Irianto Soekarno Putra
33,1,PDIP,3501-00-0000,Jatim I,Indah Kurnia
34,1,PDIP,3503-00-0000,Jatim III,Nursuhud
35,1,PDIP,3504-00-0000,Jatim IV,Arif Wibowo
36,1,PDIP,3506-00-0000,Jatim VI,Pramono Anung Wibowo
37,1,PDIP,3508-00-0000,Jatim VIII,Mindo Sianipar
38,1,PDIP,3508-00-0000,Jatim VIII,Sadarestuwati
39,1,PDIP,3511-00-0000,Jatim XI,Said Abdullah
40,1,PDIP,6101-00-0000,Kalbar,Karolin Margret Natasa
41,1,PDIP,6101-00-0000,Kalbar,Lasarus
42,1,PDIP,6201-00-0000,Kalteng,Asdy Narang
43,1,PDIP,6201-00-0000,Kalteng,Willy M Yoseph 
44,1,PDIP,6302-00-0000,Kalsel II,Adriyansyah
45,1,PDIP,6401-00-0000,Kaltim,Marten Apuy
