id,description,anggota_id
1,"Tagore adalah mantan Bupati Bener Meriah yang juga sebagai Ketua Pembela Tanah Air (PETA) se-Aceh. Anggota organisasi inilah yang membakar kantor Partai Aceh di Takengon, Aceh Tengah, pada Selasa malam, 18 Maret 2014. Keesokan harinya, massa Partai Aceh melakukan aksi balasan dengan merusak posko pemenangan Tagore Abubakar dan membakar satu unit Puskud miliknya. Tagore saat ini tercatat sebagai salah satu caleg dari PDI Perjuangan untuk DPR RI",1
2,Merupakan anggota DPR yang sering bolos dengan peringkat kehadiran hanya 33 persen selama Masa sidang I tahun sidang 2012-2013 (16 Agustus-25 Oktober 2012),2
3,"Ybs diduga pernah melakukan tindak pidana korupsi, bahkan sempat ditahan di kantor polisi. Prosesnya tak sampai ke pengadilan karena ada perdamaian. Dia melakukan korupsi ketika menjabat sebagai Kepala Sekolah Dasar Brigjen Katamso, di Sunggal, Medan. Atas kasus ini, pihak yayasan kemudian mengadukannya ke polisi, dia ditangkap. Atas jasa baik, seorang pengusaha Cina dia kemudian dibebaskan.",3
4,Pernah Menjadi Pengacara terdakwa kasus korupsi Wisma Atlet Muhammad Nazaruddin,4
5,"Pernah Menjadi Pengacara tersangka kasus dugaan korupsi kegiatan hulu minyak dan gas bumi (SKK Migas), Simon Gunawan Tanjaya",4
6,Pernah Menjadi Pengacara Djoko Susilo dalam Kasus korupsi Simulator SIM Polri,4
7,Pemilik PT Kayu Lapis Indonesia (KLI),5
8,"Pernah ditahan dan dijadikan tersangka oleh Direktorat Tindak Pidana Tertentu (Dirtipiter) Bareskrim Mabes Polri. Penahanan dilakukan atas laporan Anne Patricia Sutanto yang menuduh tersangka melakukan penggelapan uang senilai Rp 2,6 miliar milik rekan bisnisnya ke Polda Metro Jaya dengan nomor laporan 886/K/III//2006/SPK Unit I, tertanggal 8 Maret 2006 lalu.",5
9,Selain itu Ybs pernah didemo karyawan PT Karya Bintang Perkasa (PT KBP) Senin siang (23/12). Mereka menuntut Agus susanto alias Aseng untuk membayarkan gaji mereka selama satu tahun yang belum dikeluarkan.,5
10,"Sebagai Anggota Komisi VIII yang membawahi lingkungan pada tahun 2004, terlibat dalam pengesahan UU Pengelolaan Sumber Daya Air (PSDA) yang sangat menyengsarakan petani.",6
11,"Dikenal dengan anggota DPR  yang sering bolos. Selama masa Sidang II, Tahun Sidang 2012-2013 (19 November-14 Desember 2012) Erwin Moeslimin Singajuru hanya memenuhi daftar kehadiran sebanyak 25 persen",7
12,Diduga menerima uang dari Didi Dwi Nugroho selaku Kepala Biro Keuangan Kementerian Energi dan Sumber Daya Mineral (ESDM) sebesar 2.500 USD terkait THR dan pembahasan Anggaran Pendapatan dan Belanja Negara Perubahan (APBN-P),8
13,"Pernah terlibat kasus pemecatan dan diskriminasi terhadap Staf Ahlinya yang sedang dalam kondisi hamil tua, atas nama Nurely Yudha Sinaningrum (Naning), pada tahun 2011.",9
14,"Pernah terlibat kasus korupsi pengadaan alat kesehatan/alkes senilai Rp 98,6 miliar, tahun anggaran 2007.",10
15,Pernah Terlibat kasus pencemaran nama baik terhadap Ketua KPU Provinsi Babel Fahrurrozy karna menyebarkan foto dirinya di media massa.,10
16,Pernah menjadi tim kuasa hukum tersangka kasus dugaan korupsi kotak suara KPU Mulyana W Kusumah,11
17,Diduga terlibat dalam kasus mafia di Satuan Kerja Khusus Pelaksana Kegiatan Usaha Hulu Minyak dan Gas Bumi (SKK Migas),12
18,"Diduga bersengkokol dengan General Manager PT PLN Pikitring SUAR, Bintatar Hutabarat untuk memanipulasi tender pengadaan barang dan jasa dalam tender proyek induk pembangikt dan jaringan Sumatera Utara, Aceh dan Riau (Pikitring SUAR).",12
19,Diduga menerima uang dari Didi Dwi Nugroho selaku Kepala Biro Keuangan Kementerian Energi dan Sumber Daya Mineral (ESDM) sebesar 2.500 USD terkait THR dan pembahasan Anggaran Pendapatan dan Belanja Negara Perubahan (APBN-P),12
20,"Diduga melakukan politik uang pada masa kampanye Pileg 2014, dengan membagikan sembako kepada warga pada saat masa kampanye",13
21,"Pernah terlibat kasus tersangkut kasus penghilangan ayat tembakau pada tahun 2012. Ybs dilaporkan karena terjadi penghilangan salah satu ayat krusial dalam Undang-Undang tembakau yang dikirimkan ke Sekretariat Negara. Padahal, dalam pembahasan di DPR ayat tersebut masih tercantum.",14
22,"Diduga terlibat kasus intervensi obat infus. Ketika dia jadi (ketua) komisi IX DPR, dia menganjurkan agar Menkes menghentikan penggunaan infus dari prabik tertentu, diganti infus pabrik lain.",14
