id,category_id,province_id,value
1,1,11,13
2,1,12,25
3,1,13,5
4,1,14,10
5,1,15,5
6,1,16,13
7,1,17,5
8,1,18,8
9,1,19,2
10,1,21,3
11,1,31,1
12,1,32,0
13,1,33,14
14,1,34,0
15,1,35,5
16,1,36,0
17,1,51,1
18,1,52,4
19,1,53,15
20,1,61,1
21,1,62,5
22,1,63,6
23,1,64,3
24,1,65,4
25,1,71,8
26,1,72,9
27,1,73,13
28,1,74,6
29,1,75,3
30,1,76,3
31,1,81,9
32,1,82,7
33,1,91,21
34,1,92,9
35,2,11,2
36,2,12,0
37,2,13,1
38,2,14,
39,2,15,0
40,2,16,0
41,2,17,2
42,2,18,1
43,2,19,0
44,2,21,2
45,2,31,0
46,2,32,0
47,2,33,7
48,2,34,2
49,2,35,0
50,2,36,0
51,2,51,0
52,2,52,1
53,2,53,0
54,2,61,0
55,2,62,0
56,2,63,0
57,2,64,0
58,2,65,0
59,2,71,0
60,2,72,0
61,2,73,3
62,2,74,0
63,2,75,0
64,2,76,0
65,2,81,0
66,2,82,0
67,2,91,0
68,2,92,0
69,3,11,2
70,3,12,0
71,3,13,1
72,3,14,0
73,3,15,0
74,3,16,0
75,3,17,0
76,3,18,0
77,3,19,0
78,3,21,0
79,3,31,0
80,3,32,0
81,3,33,0
82,3,34,0
83,3,35,1
84,3,36,1
85,3,51,2
86,3,52,0
87,3,53,3
88,3,61,0
89,3,62,0
90,3,63,0
91,3,64,0
92,3,65,0
93,3,71,1
94,3,72,0
95,3,73,0
96,3,74,4
97,3,75,0
98,3,76,0
99,3,81,1
100,3,82,0
101,3,91,0
102,3,92,0
103,4,11,4
104,4,12,6
105,4,13,1
106,4,14,4
107,4,15,1
108,4,16,3
109,4,17,2
110,4,18,10
111,4,19,0
112,4,21,0
113,4,31,0
114,4,32,0
115,4,33,1
116,4,34,0
117,4,35,0
118,4,36,0
119,4,51,0
120,4,52,0
121,4,53,0
122,4,61,1
123,4,62,0
124,4,63,3
125,4,64,2
126,4,65,2
127,4,71,2
128,4,72,0
129,4,73,7
130,4,74,0
131,4,75,0
132,4,76,1
133,4,81,0
134,4,82,0
135,4,91,2
136,4,92,1
137,5,11,0
138,5,12,0
139,5,13,0
140,5,14,0
141,5,15,0
142,5,16,0
143,5,17,0
144,5,18,0
145,5,19,0
146,5,21,0
147,5,31,0
148,5,32,0
149,5,33,0
150,5,34,0
151,5,35,0
152,5,36,1
153,5,51,1
154,5,52,0
155,5,53,0
156,5,61,1
157,5,62,0
158,5,63,1
159,5,64,0
160,5,65,0
161,5,71,0
162,5,72,0
163,5,73,0
164,5,74,0
165,5,75,0
166,5,76,0
167,5,81,0
168,5,82,0
169,5,91,0
170,5,92,0
171,6,11,2
172,6,12,2
173,6,13,1
174,6,14,0
175,6,15,1
176,6,16,1
177,6,17,0
178,6,18,2
179,6,19,0
180,6,21,0
181,6,31,0
182,6,32,2
183,6,33,5
184,6,34,0
185,6,35,8
186,6,36,0
187,6,51,2
188,6,52,0
189,6,53,0
190,6,61,4
191,6,62,3
192,6,63,2
193,6,64,0
194,6,65,1
195,6,71,1
196,6,72,1
197,6,73,1
198,6,74,1
199,6,75,1
200,6,76,0
201,6,81,0
202,6,82,1
203,6,91,0
204,6,92,1
205,7,11,0
206,7,12,1
207,7,13,0
208,7,14,1
209,7,15,0
210,7,16,3
211,7,17,0
212,7,18,3
213,7,19,1
214,7,21,0
215,7,31,0
216,7,32,0
217,7,33,1
218,7,34,0
219,7,35,0
220,7,36,0
221,7,51,0
222,7,52,0
223,7,53,4
224,7,61,2
225,7,62,0
226,7,63,0
227,7,64,1
228,7,65,0
229,7,71,3
230,7,72,1
231,7,73,1
232,7,74,6
233,7,75,0
234,7,76,1
235,7,81,1
236,7,82,1
237,7,91,7
238,7,92,3
