id,province_id,name,link,other_link,explanation,member_link
1,32,KPU Kabupaten Bogor,http://www.kpud-bogorkab.go.id,,,http://www.kpu.go.id/koleksigambar/DATA_ANGGOTA_DPRD_KAB_BOGOR.pdf
2,32,KPU Kabupaten Sukabumi,http://www.kpu-sukabumikab.org/,,,
3,32,KPU Kabupaten Cianjur,http://www.kpud-cianjurkab.go.id/,,,http://www.kpu.go.id/koleksigambar/DATA_ANGGOTA_DPRD_CIANJUR.pdf
4,32,KPU Kabupaten Purwakarta,http://kpud-purwakartakab.go.id/,,,http://www.kpu.go.id/koleksigambar/DATA_ANGGOTA_DPRD_PURWAKARTA.pdf
5,32,KPU Kabupaten Subang,http://kpud-subangkab.go.id/,,,
6,32,KPU Kabupaten Bandung,http://kpu-bandungkab.go.id/en/       ,http://www.kpukabbdg.blogspot.com/,,http://www.kpu.go.id/koleksigambar/DATA_ANGGOTA_DPRD_KAB_BANDUNG.pdf
7,32,KPU Kabupaten Sumedang,http://www.kpud-sumedangkab.go.id/,,,
8,32,KPU Kabupaten Garut,http://kpud-garutkab.go.id/,,,
9,32,KPU Kabupaten Tasikmalaya,http://www.kpud-tasikmalayakab.go.id/,http://kputasik.wordpress.com/,,http://www.kpu.go.id/koleksigambar/DATA_ANGGOTA_DPRD_KAB_TASIKMALAYA.pdf
10,32,KPU Kabupaten Ciamis,http://www.kpu-ciamiskab.go.id/,,,
11,32,KPU Kabupaten Kuningan,http://www.kpud-kuningankab.go.id/,,,http://www.kpu.go.id/koleksigambar/DATA_ANGGOTA_DPRD_KUNINGAN.pdf
12,32,KPU Kabupaten Cirebon,http://kpud-cirebonkab.go.id/,,,
13,32,KPU Kabupaten Indramayu,http://www.kpu-indramayukab.go.id/home,,,
14,32,KPU Kabupaten Bandung Barat,,,,http://www.kpu.go.id/koleksigambar/DATA_ANGGOTA_DPRD_BANDUNG_BARAT.pdf
15,32,KPU Kabupaten Karawang,,,,
16,32,KPU Kabupaten Bekasi,http://www.kpukabbekasi.org,,,
17,32,KPU Kabupaten Majalengka,,,,http://www.kpu.go.id/koleksigambar/DATA_ANGGOTA_DPRD_MAJALENGKA.pdf
18,32,KPU Kota Cirebon,http://kpu-cirebonkota.go.id/,,,http://www.kpu.go.id/koleksigambar/DATA_ANGGOTA_DPRD_KOTA_CIREBON.pdf
19,32,KPU Kota Bandung,http://kpud-bandungkota.go.id/,,,http://www.kpu.go.id/koleksigambar/DATA_ANGGOTA_DPRD_KOTA_BANDUNG.pdf
20,32,KPU Kota Cimahi,http://www.kpukotacimahi.com/,,,http://www.kpu.go.id/koleksigambar/DATA_ANGGOTA_DPRD_CIMAHI.pdf
21,32,KPU Kota Bekasi,http://kpud-bekasikota.go.id/,,,http://www.kpu.go.id/koleksigambar/DATA_ANGGOTA_DPRD_KOTA_BEKASI.pdf
22,32,KPU Kota Tasikmalaya,http://www.kpud-tasikmalayakota.go.id/,,,http://www.kpu.go.id/koleksigambar/DATA_ANGGOTA_DPRD_KOTA_TASIKMALAYA.pdf
23,32,KPU Kota Bogor,http://kpu-bogorkota.go.id/,,,http://www.kpu.go.id/koleksigambar/DATA_ANGGOTA_DPRD_KOTA_BOGOR.pdf
