lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,1,PARTAI NASDEM,1,6300-01-0000-0101,"Drs. H.M. TASRIQ USMAN, M. MPd",L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,1,PARTAI NASDEM,2,6300-01-0000-0102,"YUNAN CHANDRA, SE, MM",L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,1,PARTAI NASDEM,3,6300-01-0000-0103,Dra. Hj. LILIES K.S. M.Si,P,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,1,PARTAI NASDEM,4,6300-01-0000-0104,WINARDI SETHIONO,L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,1,PARTAI NASDEM,5,6300-01-0000-0105,OLPAH SARI,P,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,1,PARTAI NASDEM,6,6300-01-0000-0106,"SUGIAN NOOR, SE",L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,1,PARTAI NASDEM,7,6300-01-0000-0107,LIKNA ANGGRAINI,P,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,1,PARTAI NASDEM,8,6300-01-0000-0108,Drs. H. GT. MAS SURIANSYAH,L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,2,PARTAI KEBANGKITAN BANGSA,1,6300-01-0000-0201,"Hj. UMI KALSUM, SE",P,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,2,PARTAI KEBANGKITAN BANGSA,2,6300-01-0000-0202,"H. SURIPNO SUMAS, SH, MH",L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,2,PARTAI KEBANGKITAN BANGSA,3,6300-01-0000-0203,"H. ZAINAL ARIFIN, SH",L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,2,PARTAI KEBANGKITAN BANGSA,4,6300-01-0000-0204,Dra. Hj. SITI AKBARI,P,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,2,PARTAI KEBANGKITAN BANGSA,5,6300-01-0000-0205,M. NAUFAL,L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,2,PARTAI KEBANGKITAN BANGSA,6,6300-01-0000-0206,MASDIANI,P,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,2,PARTAI KEBANGKITAN BANGSA,7,6300-01-0000-0207,NINING LAORA SARI,P,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,2,PARTAI KEBANGKITAN BANGSA,8,6300-01-0000-0208,Ir. H. SYAMSUL ALAM,L,,,,,,,,,YOGYAKARTA,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,3,PARTAI KEADILAN SEJAHTERA,1,6300-01-0000-0301,"SIRAJUDDIN HABIBI, ST",L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,3,PARTAI KEADILAN SEJAHTERA,2,6300-01-0000-0302,"H HARYANTO, SE",L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,3,PARTAI KEADILAN SEJAHTERA,3,6300-01-0000-0303,"APRINA SANTEKA, S.Sos",P,,,,,,,,,BANJAR,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,3,PARTAI KEADILAN SEJAHTERA,4,6300-01-0000-0304,KHAIRUDDIN AL ASY'ARI,L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,3,PARTAI KEADILAN SEJAHTERA,5,6300-01-0000-0305,DRA. SITI SARO,P,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,3,PARTAI KEADILAN SEJAHTERA,6,6300-01-0000-0306,Drs. M. BUSHAIRIE AHMAD M.S,L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,3,PARTAI KEADILAN SEJAHTERA,7,6300-01-0000-0307,"HALIL LUTFI, S.IP",L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,3,PARTAI KEADILAN SEJAHTERA,8,6300-01-0000-0308,"YULIANJAR WATI, S.Si",P,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,1,6300-01-0000-0401,"H. MUHAIMIN, SH, MH, MKn",L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,2,6300-01-0000-0402,"H.M. ROSEHAN NOOR BAHRI, SH",L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,3,6300-01-0000-0403,TRI LINDAWATY,P,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,4,6300-01-0000-0404,ANDI RUSBANDI,L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,5,6300-01-0000-0405,ROMANSYAH,L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,6,6300-01-0000-0406,"Hj. FAIRUS FACHIR, SE",P,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,7,6300-01-0000-0407,Drs. SAUT NATHAN SAMOSIR,L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,8,6300-01-0000-0408,ELVINA PURNAMASARI,P,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,5,PARTAI GOLONGAN KARYA,1,6300-01-0000-0501,"DR. H. BARDIANSYAH, MM",L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,5,PARTAI GOLONGAN KARYA,2,6300-01-0000-0502,WIRANATA HALIM,L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,5,PARTAI GOLONGAN KARYA,3,6300-01-0000-0503,PINARSINTA SINAGA,P,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,5,PARTAI GOLONGAN KARYA,4,6300-01-0000-0504,"Drs. H. DAHRI, MM",L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,5,PARTAI GOLONGAN KARYA,5,6300-01-0000-0505,"ADI KARTIKA SULISTYO, SE, Akt, MM",L,,,,,,,,,TABALONG,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,5,PARTAI GOLONGAN KARYA,6,6300-01-0000-0506,Hj. HERAWATI MAHYUDDIN,P,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,5,PARTAI GOLONGAN KARYA,7,6300-01-0000-0507,"H. ABDUL SALIM FACHRY, SE, MM",L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,5,PARTAI GOLONGAN KARYA,8,6300-01-0000-0508,"ROSIDA SH, MM",P,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,7,PARTAI DEMOKRAT,1,6300-01-0000-0701,Drs. H. FIKRI,L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,7,PARTAI DEMOKRAT,2,6300-01-0000-0702,"HASANUDDIN, SH",L,,,,,,,,,BANJARMASIN,,
DPRDI,2014,63,KALIMANTAN SELATAN,6300-01-0000,Kalsel 1,7,PARTAI DEMOKRAT,3,6300-01-0000-0703,"Dra. Hj. HERA FARINA, MM",P,,,,,,,,,BANJARMASIN,,
