lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPRDI,2014,31,DKI JAKARTA,3100-01-0000,DKI JAKARTA 1,1,PARTAI NASDEM,1,3100-01-0000-0101,"BESTARI BARUS, SH.",L,,,,,,,,,JAKARTA PUSAT,,
DPRDI,2014,31,DKI JAKARTA,3100-01-0000,DKI JAKARTA 1,1,PARTAI NASDEM,2,3100-01-0000-0102,"WIBI ANDRINO, SH",L,,,,,,,,,JAKARTA PUSAT,,
DPRDI,2014,31,DKI JAKARTA,3100-01-0000,DKI JAKARTA 1,1,PARTAI NASDEM,3,3100-01-0000-0103,DAMINI EMELI,P,,,,,,,,,JAKARTA PUSAT,,
DPRDI,2014,31,DKI JAKARTA,3100-01-0000,DKI JAKARTA 1,1,PARTAI NASDEM,4,3100-01-0000-0104,VICTOR I. NAPITUPULU,L,,,,,,,,,JAKARTA PUSAT,,
DPRDI,2014,31,DKI JAKARTA,3100-01-0000,DKI JAKARTA 1,1,PARTAI NASDEM,5,3100-01-0000-0105,"BUDI SANTOSO, SE",L,,,,,,,,,JAKARTA PUSAT,,
DPRDI,2014,31,DKI JAKARTA,3100-01-0000,DKI JAKARTA 1,1,PARTAI NASDEM,6,3100-01-0000-0106,"SONDANG TARIDA TAMPUBOLON, SH.",P,,,,,,,,,JAKARTA PUSAT,,
DPRDI,2014,31,DKI JAKARTA,3100-01-0000,DKI JAKARTA 1,1,PARTAI NASDEM,7,3100-01-0000-0107,RISNAWELLY R.,P,,,,,,,,,JAKARTA PUSAT,,
DPRDI,2014,31,DKI JAKARTA,3100-01-0000,DKI JAKARTA 1,1,PARTAI NASDEM,8,3100-01-0000-0108,Hj. ISWANI BINTARI,P,,,,,,,,,JAKARTA PUSAT,,
DPRDI,2014,31,DKI JAKARTA,3100-01-0000,DKI JAKARTA 1,1,PARTAI NASDEM,9,3100-01-0000-0109,SILVIA DEVI SOEMBARTO,P,,,,,,,,,JAKARTA PUSAT,,
DPRDI,2014,31,DKI JAKARTA,3100-01-0000,DKI JAKARTA 1,1,PARTAI NASDEM,10,3100-01-0000-0110,WAHYU EFFENDI,L,,,,,,,,,JAKARTA BARAT,,
DPRDI,2014,31,DKI JAKARTA,3100-01-0000,DKI JAKARTA 1,1,PARTAI NASDEM,11,3100-01-0000-0111,Drs. H. IMAM DJUWENI,L,,,,,,,,,JAKARTA PUSAT,,
DPRDI,2014,31,DKI JAKARTA,3100-01-0000,DKI JAKARTA 1,1,PARTAI NASDEM,12,3100-01-0000-0112,AGUNG WIBOWO HADI,L,,,,,,,,,JAKARTA TIMUR,,
DPRDI,2014,31,DKI JAKARTA,3100-01-0000,DKI JAKARTA 1,2,PARTAI KEBANGKITAN BANGSA,1,3100-01-0000-0201,H. MUALLIF ZA,L,,,,,,,,,JAKARTA PUSAT,,
DPRDI,2014,31,DKI JAKARTA,3100-01-0000,DKI JAKARTA 1,2,PARTAI KEBANGKITAN BANGSA,2,3100-01-0000-0202,WAWAN SUHAWAN,L,,,,,,,,,JAKARTA PUSAT,,
DPRDI,2014,31,DKI JAKARTA,3100-01-0000,DKI JAKARTA 1,2,PARTAI KEBANGKITAN BANGSA,3,3100-01-0000-0203,ANNI YULIANI,P,,,,,,,,,JAKARTA PUSAT,,
DPRDI,2014,31,DKI JAKARTA,3100-01-0000,DKI JAKARTA 1,2,PARTAI KEBANGKITAN BANGSA,4,3100-01-0000-0204,"ABDULLAH UBAYD, SH.",L,,,,,,,,,JAKARTA PUSAT,,
DPRDI,2014,31,DKI JAKARTA,3100-01-0000,DKI JAKARTA 1,2,PARTAI KEBANGKITAN BANGSA,5,3100-01-0000-0205,AHMAD KATSIR,L,,,,,,,,,JAKARTA PUSAT,,
DPRDI,2014,31,DKI JAKARTA,3100-01-0000,DKI JAKARTA 1,2,PARTAI KEBANGKITAN BANGSA,6,3100-01-0000-0206,INDAH APRIYANI,P,,,,,,,,,JAKARTA PUSAT,,
DPRDI,2014,31,DKI JAKARTA,3100-01-0000,DKI JAKARTA 1,2,PARTAI KEBANGKITAN BANGSA,7,3100-01-0000-0207,"AHMAD FADLI HS., M.Si",L,,,,,,,,,JAKARTA PUSAT,,
DPRDI,2014,31,DKI JAKARTA,3100-01-0000,DKI JAKARTA 1,2,PARTAI KEBANGKITAN BANGSA,8,3100-01-0000-0208,"Drs. AGUS SUGEMA, MM",L,,,,,,,,,JAKARTA PUSAT,,
DPRDI,2014,31,DKI JAKARTA,3100-01-0000,DKI JAKARTA 1,2,PARTAI KEBANGKITAN BANGSA,9,3100-01-0000-0209,HENI,P,,,,,,,,,JAKARTA TIMUR,,
DPRDI,2014,31,DKI JAKARTA,3100-01-0000,DKI JAKARTA 1,2,PARTAI KEBANGKITAN BANGSA,10,3100-01-0000-0210,LAKSANA,L,,,,,,,,,JAKARTA PUSAT,,
