lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,1,1100-00-0000-0001,ADNAN N.S,L,,,,,,,,,KOTA BANDA ACEH,,http://dct.kpu.go.id/images/foto/DPD/11.%20NAD/01.jpg
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,2,1100-00-0000-0002,"Dr. AHMAD FARHAN HAMID, M.S.",L,,,,,,,,,KOTA BANDA ACEH,,http://dct.kpu.go.id/images/foto/DPD/11.%20NAD/02.jpg
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,3,1100-00-0000-0003,"Drs. H. ANHARUDDIN, S.E., M.M.",L,,,,,,,,,KOTA SUBULUSSALAM,,http://dct.kpu.go.id/images/foto/DPD/11.%20NAD/03.jpg
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,4,1100-00-0000-0004,ANWAR,L,,,,,,,,,KOTA BANDA ACEH,,http://dct.kpu.go.id/images/foto/DPD/11.%20NAD/04.jpg
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,5,1100-00-0000-0005,"H. ASY'ARI, S.Pd.I.",L,,,,,,,,,KOTA LANGSA,,http://dct.kpu.go.id/images/foto/DPD/11.%20NAD/05.jpg
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,6,1100-00-0000-0006,"Drs. AZHARI USMAN, M.Si.",L,,,,,,,,,KOTA BANDA ACEH,,http://dct.kpu.go.id/images/foto/DPD/11.%20NAD/06.jpg
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,7,1100-00-0000-0007,DASLELIATY,P,,,,,,,,,KOTA BANDA ACEH,,http://dct.kpu.go.id/images/foto/DPD/11.%20NAD/07.jpg
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,8,1100-00-0000-0008,"ERDARINA, S.P.",P,,,,,,,,,ACEH TENGGARA,,http://dct.kpu.go.id/images/foto/DPD/11.%20NAD/08.jpg
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,9,1100-00-0000-0009,"FACHRUL RAZI, M.I.P.",L,,,,,,,,,KOTA LHOKSEUMAWE,,http://dct.kpu.go.id/images/foto/DPD/11.%20NAD/09.jpg
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,10,1100-00-0000-0010,"H. FACHRURRAZI, S.E.",L,,,,,,,,,KOTA BANDA ACEH,,http://dct.kpu.go.id/images/foto/DPD/11.%20NAD/10.jpg
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,11,1100-00-0000-0011,FAUZAN AZIMA S,L,,,,,,,,,ACEH TENGAH,,http://dct.kpu.go.id/images/foto/DPD/11.%20NAD/11.jpg
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,12,1100-00-0000-0012,FAZLUN HASAN,L,,,,,,,,,KOTA LANGSA,,http://dct.kpu.go.id/images/foto/DPD/11.%20NAD/12.jpg
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,13,1100-00-0000-0013,Drs. H. GHAZALI ABBAS ADAN,L,,,,,,,,,KOTA BANDA ACEH,,http://dct.kpu.go.id/images/foto/DPD/11.%20NAD/13.jpg
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,14,1100-00-0000-0014,HERIANTO,L,,,,,,,,,ACEH BARAT DAYA,,http://dct.kpu.go.id/images/foto/DPD/11.%20NAD/14.jpg
DPD,2014,11,ACEH,1100-00-0000,ACEH,,,15,1100-00-0000-0015,Drs. IBRAHIM SALEH,L,,,,,,,,,ACEH BESAR,,http://dct.kpu.go.id/images/foto/DPD/11.%20NAD/15.jpg
